case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex281,ex281_unknown_cofactor_bdd_center1,unknown_cofactor_bdd,center1,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex281/verilog/ex281_unknown_cofactor_bdd_center1.v,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex281/aigs/ex281_unknown_cofactor_bdd_center1.aig,1,1,1,1780,22,39160,2336,16.763699,0,0,structural_exact,outer_bits=6; inner_bits=0:1:2:3:4:5:7:8:9:10:11:12; group_bdd_nodes=462:453; total_group_bdd_nodes=915; hash=b31b3874503a,1.341,unknown function cofactor-BDD Verilog seed
ex281,ex281_unknown_cofactor_bdd_high1,unknown_cofactor_bdd,high1,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex281/verilog/ex281_unknown_cofactor_bdd_high1.v,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex281/aigs/ex281_unknown_cofactor_bdd_high1.aig,1,1,1,1153,23,26519,2336,11.352312,0,0,structural_exact,outer_bits=12; inner_bits=0:1:2:3:4:5:6:7:8:9:10:11; group_bdd_nodes=428:430; total_group_bdd_nodes=858; hash=3f15736045b0,1.404,unknown function cofactor-BDD Verilog seed
ex281,ex281_unknown_cofactor_bdd_low1,unknown_cofactor_bdd,low1,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex281/verilog/ex281_unknown_cofactor_bdd_low1.v,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex281/aigs/ex281_unknown_cofactor_bdd_low1.aig,1,1,1,1187,24,28488,2336,12.195205,0,0,structural_exact,outer_bits=0; inner_bits=1:2:3:4:5:6:7:8:9:10:11:12; group_bdd_nodes=393:449; total_group_bdd_nodes=842; hash=1df4da5f5edf,1.242,unknown function cofactor-BDD Verilog seed
ex282,ex282_unknown_cofactor_bdd_center1,unknown_cofactor_bdd,center1,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex282/verilog/ex282_unknown_cofactor_bdd_center1.v,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex282/aigs/ex282_unknown_cofactor_bdd_center1.aig,1,1,1,2079,24,49896,2704,18.452663,0,0,structural_exact,outer_bits=6; inner_bits=0:1:2:3:4:5:7:8:9:10:11:12:13; group_bdd_nodes=536:536; total_group_bdd_nodes=1072; hash=b24b29ee8687,2.477,unknown function cofactor-BDD Verilog seed
ex282,ex282_unknown_cofactor_bdd_high1,unknown_cofactor_bdd,high1,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex282/verilog/ex282_unknown_cofactor_bdd_high1.v,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex282/aigs/ex282_unknown_cofactor_bdd_high1.aig,1,1,1,1373,25,34325,2704,12.694157,0,0,structural_exact,outer_bits=13; inner_bits=0:1:2:3:4:5:6:7:8:9:10:11:12; group_bdd_nodes=505:507; total_group_bdd_nodes=1012; hash=0de422cbdde6,2.356,unknown function cofactor-BDD Verilog seed
ex282,ex282_unknown_cofactor_bdd_low1,unknown_cofactor_bdd,low1,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex282/verilog/ex282_unknown_cofactor_bdd_low1.v,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex282/aigs/ex282_unknown_cofactor_bdd_low1.aig,1,1,1,1397,24,33528,2704,12.399408,0,0,structural_exact,outer_bits=0; inner_bits=1:2:3:4:5:6:7:8:9:10:11:12:13; group_bdd_nodes=467:527; total_group_bdd_nodes=994; hash=f135cdd45736,2.314,unknown function cofactor-BDD Verilog seed
ex283,ex283_unknown_cofactor_bdd_center1,unknown_cofactor_bdd,center1,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex283/verilog/ex283_unknown_cofactor_bdd_center1.v,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex283/aigs/ex283_unknown_cofactor_bdd_center1.aig,1,1,1,2478,27,66906,3168,21.119318,0,0,structural_exact,outer_bits=7; inner_bits=0:1:2:3:4:5:6:8:9:10:11:12:13:14; group_bdd_nodes=623:614; total_group_bdd_nodes=1237; hash=cccc7a4dac13,4.856,unknown function cofactor-BDD Verilog seed
ex283,ex283_unknown_cofactor_bdd_high1,unknown_cofactor_bdd,high1,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex283/verilog/ex283_unknown_cofactor_bdd_high1.v,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex283/aigs/ex283_unknown_cofactor_bdd_high1.aig,1,1,1,1624,27,43848,3168,13.840909,0,0,structural_exact,outer_bits=14; inner_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13; group_bdd_nodes=583:585; total_group_bdd_nodes=1168; hash=1d4a7d9e161b,4.676,unknown function cofactor-BDD Verilog seed
ex283,ex283_unknown_cofactor_bdd_low1,unknown_cofactor_bdd,low1,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex283/verilog/ex283_unknown_cofactor_bdd_low1.v,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex283/aigs/ex283_unknown_cofactor_bdd_low1.aig,1,1,1,1639,27,44253,3168,13.968750,0,0,structural_exact,outer_bits=0; inner_bits=1:2:3:4:5:6:7:8:9:10:11:12:13:14; group_bdd_nodes=542:606; total_group_bdd_nodes=1148; hash=4e60cc7498fd,4.648,unknown function cofactor-BDD Verilog seed
ex284,ex284_unknown_cofactor_bdd_center1,unknown_cofactor_bdd,center1,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex284/verilog/ex284_unknown_cofactor_bdd_center1.v,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex284/aigs/ex284_unknown_cofactor_bdd_center1.aig,1,1,1,2926,29,84854,4240,20.012736,0,0,structural_exact,outer_bits=7; inner_bits=0:1:2:3:4:5:6:8:9:10:11:12:13:14:15; group_bdd_nodes=703:703; total_group_bdd_nodes=1406; hash=dcd27ff88bda,10.620,unknown function cofactor-BDD Verilog seed
ex284,ex284_unknown_cofactor_bdd_high1,unknown_cofactor_bdd,high1,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex284/verilog/ex284_unknown_cofactor_bdd_high1.v,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex284/aigs/ex284_unknown_cofactor_bdd_high1.aig,1,1,1,1912,30,57360,4240,13.528302,0,0,structural_exact,outer_bits=15; inner_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14; group_bdd_nodes=666:668; total_group_bdd_nodes=1334; hash=a5c995acf80d,10.047,unknown function cofactor-BDD Verilog seed
ex284,ex284_unknown_cofactor_bdd_low1,unknown_cofactor_bdd,low1,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex284/verilog/ex284_unknown_cofactor_bdd_low1.v,student/work/ex281_ex284_frontend_bdd_cofactor_20260608_1521/ex284/aigs/ex284_unknown_cofactor_bdd_low1.aig,1,1,1,1832,29,53128,4240,12.530189,0,0,structural_exact,outer_bits=0; inner_bits=1:2:3:4:5:6:7:8:9:10:11:12:13:14:15; group_bdd_nodes=622:690; total_group_bdd_nodes=1312; hash=ce08d6dbffc0,9.775,unknown function cofactor-BDD Verilog seed
