case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex282,ex282_unknown_bit_hybrid_primary_0_1_2_3,unknown_bit_hybrid,primary_0_1_2_3,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_0_1_2_3.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/aigs/ex282_unknown_bit_hybrid_primary_0_1_2_3.aig,1,1,1,963,36,34668,2704,12.821006,0,0,structural_exact,primary_bits=0:1:2:3; secondary_bits=4:5:6:7:8:9:10:11:12:13; hash=4da4d007cda3,2.101,bit-hybrid of two verified exact Verilog sources,1,34668,0,
ex282,ex282_unknown_bit_hybrid_primary_0_1_2_3_4_5_6,unknown_bit_hybrid,primary_0_1_2_3_4_5_6,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_0_1_2_3_4_5_6.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/aigs/ex282_unknown_bit_hybrid_primary_0_1_2_3_4_5_6.aig,1,1,1,977,35,34195,2704,12.646080,0,0,structural_exact,primary_bits=0:1:2:3:4:5:6; secondary_bits=7:8:9:10:11:12:13; hash=baf7348b6885,2.139,bit-hybrid of two verified exact Verilog sources,1,34195,0,
ex282,ex282_unknown_bit_hybrid_primary_10_11_12_13,unknown_bit_hybrid,primary_10_11_12_13,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_10_11_12_13.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/aigs/ex282_unknown_bit_hybrid_primary_10_11_12_13.aig,1,1,1,953,34,32402,2704,11.982988,0,0,structural_exact,primary_bits=10:11:12:13; secondary_bits=0:1:2:3:4:5:6:7:8:9; hash=9e9fc1294abc,2.060,bit-hybrid of two verified exact Verilog sources,1,32402,0,
ex282,ex282_unknown_bit_hybrid_primary_12_13,unknown_bit_hybrid,primary_12_13,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_12_13.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/aigs/ex282_unknown_bit_hybrid_primary_12_13.aig,1,1,1,917,35,32095,2704,11.869453,0,0,structural_exact,primary_bits=12:13; secondary_bits=0:1:2:3:4:5:6:7:8:9:10:11; hash=a8af1975cd17,2.114,bit-hybrid of two verified exact Verilog sources,1,32095,0,
ex282,ex282_unknown_bit_hybrid_primary_7_8_9_10_11_12_13,unknown_bit_hybrid,primary_7_8_9_10_11_12_13,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_7_8_9_10_11_12_13.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/aigs/ex282_unknown_bit_hybrid_primary_7_8_9_10_11_12_13.aig,1,1,1,1011,32,32352,2704,11.964497,0,0,structural_exact,primary_bits=7:8:9:10:11:12:13; secondary_bits=0:1:2:3:4:5:6; hash=aa2f863077d6,2.127,bit-hybrid of two verified exact Verilog sources,1,32352,0,
ex282,ex282_unknown_bit_hybrid_primary_8_9_10_11_12_13,unknown_bit_hybrid,primary_8_9_10_11_12_13,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_8_9_10_11_12_13.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/aigs/ex282_unknown_bit_hybrid_primary_8_9_10_11_12_13.aig,1,1,1,992,32,31744,2704,11.739645,0,0,structural_exact,primary_bits=8:9:10:11:12:13; secondary_bits=0:1:2:3:4:5:6:7; hash=5a3ac596d0e7,2.105,bit-hybrid of two verified exact Verilog sources,1,31744,0,
ex283,ex283_unknown_bit_hybrid_primary_0_1_2_3,unknown_bit_hybrid,primary_0_1_2_3,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_0_1_2_3.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/aigs/ex283_unknown_bit_hybrid_primary_0_1_2_3.aig,1,1,1,1046,39,40794,3168,12.876894,0,0,structural_exact,primary_bits=0:1:2:3; secondary_bits=4:5:6:7:8:9:10:11:12:13:14; hash=2d2478179a7c,2.867,bit-hybrid of two verified exact Verilog sources,1,40794,0,
ex283,ex283_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7,unknown_bit_hybrid,primary_0_1_2_3_4_5_6_7,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/aigs/ex283_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7.aig,1,1,1,1135,35,39725,3168,12.539457,0,0,structural_exact,primary_bits=0:1:2:3:4:5:6:7; secondary_bits=8:9:10:11:12:13:14; hash=8ddc2498d101,2.981,bit-hybrid of two verified exact Verilog sources,1,39725,0,
ex283,ex283_unknown_bit_hybrid_primary_11_12_13_14,unknown_bit_hybrid,primary_11_12_13_14,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_11_12_13_14.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/aigs/ex283_unknown_bit_hybrid_primary_11_12_13_14.aig,1,1,1,1149,33,37917,3168,11.968750,0,0,structural_exact,primary_bits=11:12:13:14; secondary_bits=0:1:2:3:4:5:6:7:8:9:10; hash=569243e2c947,2.925,bit-hybrid of two verified exact Verilog sources,1,37917,0,
ex283,ex283_unknown_bit_hybrid_primary_13_14,unknown_bit_hybrid,primary_13_14,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_13_14.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/aigs/ex283_unknown_bit_hybrid_primary_13_14.aig,1,1,1,1095,37,40515,3168,12.788826,0,0,structural_exact,primary_bits=13:14; secondary_bits=0:1:2:3:4:5:6:7:8:9:10:11:12; hash=5a6eeb09042d,2.804,bit-hybrid of two verified exact Verilog sources,1,40515,0,
