case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex282,ex282_unknown_bit_hybrid_primary_0_1_2_3_abc_g_aig,1,1,816,36,29376,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_0_1_2_3.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex282/aigs/ex282_unknown_bit_hybrid_primary_0_1_2_3_abc_g_aig.aig,Yosys abc gate set aig
ex282,ex282_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_abc_g_aig,1,1,863,35,30205,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_0_1_2_3_4_5_6.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex282/aigs/ex282_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_abc_g_aig.aig,Yosys abc gate set aig
ex282,ex282_unknown_bit_hybrid_primary_10_11_12_13_abc_g_aig,1,1,866,34,29444,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_10_11_12_13.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex282/aigs/ex282_unknown_bit_hybrid_primary_10_11_12_13_abc_g_aig.aig,Yosys abc gate set aig
ex282,ex282_unknown_bit_hybrid_primary_12_13_abc_g_aig,1,1,797,35,27895,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_12_13.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex282/aigs/ex282_unknown_bit_hybrid_primary_12_13_abc_g_aig.aig,Yosys abc gate set aig
ex282,ex282_unknown_bit_hybrid_primary_7_8_9_10_11_12_13_abc_g_aig,1,1,947,32,30304,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_7_8_9_10_11_12_13.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex282/aigs/ex282_unknown_bit_hybrid_primary_7_8_9_10_11_12_13_abc_g_aig.aig,Yosys abc gate set aig
ex282,ex282_unknown_bit_hybrid_primary_8_9_10_11_12_13_abc_g_aig,1,1,939,32,30048,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_8_9_10_11_12_13.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex282/aigs/ex282_unknown_bit_hybrid_primary_8_9_10_11_12_13_abc_g_aig.aig,Yosys abc gate set aig
ex283,ex283_unknown_bit_hybrid_primary_0_1_2_3_abc_g_aig,1,1,908,39,35412,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_0_1_2_3.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex283/aigs/ex283_unknown_bit_hybrid_primary_0_1_2_3_abc_g_aig.aig,Yosys abc gate set aig
ex283,ex283_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7_abc_g_aig,1,1,1006,35,35210,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex283/aigs/ex283_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7_abc_g_aig.aig,Yosys abc gate set aig
ex283,ex283_unknown_bit_hybrid_primary_11_12_13_14_abc_g_aig,1,1,1005,33,33165,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_11_12_13_14.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex283/aigs/ex283_unknown_bit_hybrid_primary_11_12_13_14_abc_g_aig.aig,Yosys abc gate set aig
ex283,ex283_unknown_bit_hybrid_primary_13_14_abc_g_aig,1,1,926,37,34262,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_13_14.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex283/aigs/ex283_unknown_bit_hybrid_primary_13_14_abc_g_aig.aig,Yosys abc gate set aig
ex283,ex283_unknown_bit_hybrid_primary_7_8_9_10_11_12_13_14_abc_g_aig,1,1,1083,34,36822,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_7_8_9_10_11_12_13_14.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex283/aigs/ex283_unknown_bit_hybrid_primary_7_8_9_10_11_12_13_14_abc_g_aig.aig,Yosys abc gate set aig
ex283,ex283_unknown_bit_hybrid_primary_8_9_10_11_12_13_14_abc_g_aig,1,1,1072,32,34304,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_8_9_10_11_12_13_14.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex283/aigs/ex283_unknown_bit_hybrid_primary_8_9_10_11_12_13_14_abc_g_aig.aig,Yosys abc gate set aig
ex284,ex284_unknown_bit_hybrid_primary_0_1_2_3_abc_g_aig,1,1,966,41,39606,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex284/verilog/ex284_unknown_bit_hybrid_primary_0_1_2_3.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex284/aigs/ex284_unknown_bit_hybrid_primary_0_1_2_3_abc_g_aig.aig,Yosys abc gate set aig
ex284,ex284_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7_abc_g_aig,1,1,1060,43,45580,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex284/verilog/ex284_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex284/aigs/ex284_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7_abc_g_aig.aig,Yosys abc gate set aig
ex284,ex284_unknown_bit_hybrid_primary_12_13_14_15_abc_g_aig,1,1,1003,39,39117,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex284/verilog/ex284_unknown_bit_hybrid_primary_12_13_14_15.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex284/aigs/ex284_unknown_bit_hybrid_primary_12_13_14_15_abc_g_aig.aig,Yosys abc gate set aig
ex284,ex284_unknown_bit_hybrid_primary_14_15_abc_g_aig,1,1,987,40,39480,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex284/verilog/ex284_unknown_bit_hybrid_primary_14_15.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex284/aigs/ex284_unknown_bit_hybrid_primary_14_15_abc_g_aig.aig,Yosys abc gate set aig
ex284,ex284_unknown_bit_hybrid_primary_8_9_10_11_abc_g_aig,1,1,1202,37,44474,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex284/verilog/ex284_unknown_bit_hybrid_primary_8_9_10_11.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex284/aigs/ex284_unknown_bit_hybrid_primary_8_9_10_11_abc_g_aig.aig,Yosys abc gate set aig
ex284,ex284_unknown_bit_hybrid_primary_8_9_10_11_12_13_14_15_abc_g_aig,1,1,1185,34,40290,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex284/verilog/ex284_unknown_bit_hybrid_primary_8_9_10_11_12_13_14_15.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex284/aigs/ex284_unknown_bit_hybrid_primary_8_9_10_11_12_13_14_15_abc_g_aig.aig,Yosys abc gate set aig
