case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex285,ex285_interleave_f10_abc_g_aig,unknown_symmetry_canonical_bdd,abc_g_aig,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_synthflow_20260608_1449/ex285/aigs/ex285_interleave_f10_abc_g_aig.aig,1,1,1,1041,17,17697,5499,3.218221,0,0,synthflow_exact,Yosys abc gate set aig,0.538,Yosys abc gate set aig
ex285,ex285_interleave_f10_abc_g_aig_d20,unknown_symmetry_canonical_bdd,abc_g_aig_d20,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_synthflow_20260608_1449/ex285/aigs/ex285_interleave_f10_abc_g_aig_d20.aig,1,1,1,1041,17,17697,5499,3.218221,0,0,synthflow_exact,Yosys abc gate set aig delay target 20,0.492,Yosys abc gate set aig delay target 20
ex285,ex285_interleave_f10_extra_opt_share,unknown_symmetry_canonical_bdd,extra_opt_share,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_synthflow_20260608_1449/ex285/aigs/ex285_interleave_f10_extra_opt_share.aig,1,1,1,1038,17,17646,5499,3.208947,0,0,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap,0.550,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex285,ex285_interleave_f10_synth_preset,unknown_symmetry_canonical_bdd,synth_preset,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_synthflow_20260608_1449/ex285/aigs/ex285_interleave_f10_synth_preset.aig,1,1,1,1037,17,17629,5499,3.205856,0,0,synthflow_exact,Yosys synth preset with flatten,0.685,Yosys synth preset with flatten
ex286,ex286_interleave_zero_abc_g_aig,unknown_symmetry_canonical_bdd,abc_g_aig,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_synthflow_20260608_1449/ex286/aigs/ex286_interleave_zero_abc_g_aig.aig,1,1,1,1435,17,24395,2376,10.267256,0,0,synthflow_exact,Yosys abc gate set aig,0.633,Yosys abc gate set aig
ex286,ex286_interleave_zero_abc_g_aig_d20,unknown_symmetry_canonical_bdd,abc_g_aig_d20,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_synthflow_20260608_1449/ex286/aigs/ex286_interleave_zero_abc_g_aig_d20.aig,1,1,1,1435,17,24395,2376,10.267256,0,0,synthflow_exact,Yosys abc gate set aig delay target 20,0.674,Yosys abc gate set aig delay target 20
ex286,ex286_interleave_zero_extra_opt_share,unknown_symmetry_canonical_bdd,extra_opt_share,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_synthflow_20260608_1449/ex286/aigs/ex286_interleave_zero_extra_opt_share.aig,1,1,1,1436,18,25848,2376,10.878788,0,0,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap,0.696,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex286,ex286_interleave_zero_synth_preset,unknown_symmetry_canonical_bdd,synth_preset,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_synthflow_20260608_1449/ex286/aigs/ex286_interleave_zero_synth_preset.aig,1,1,1,1416,18,25488,2376,10.727273,0,0,synthflow_exact,Yosys synth preset with flatten,0.941,Yosys synth preset with flatten
ex287,ex287_interleave_f10_abc_g_aig,unknown_symmetry_canonical_bdd,abc_g_aig,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_synthflow_20260608_1449/ex287/aigs/ex287_interleave_f10_abc_g_aig.aig,1,1,1,1753,19,33307,5782,5.760464,0,0,synthflow_exact,Yosys abc gate set aig,0.914,Yosys abc gate set aig
ex287,ex287_interleave_f10_abc_g_aig_d20,unknown_symmetry_canonical_bdd,abc_g_aig_d20,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_synthflow_20260608_1449/ex287/aigs/ex287_interleave_f10_abc_g_aig_d20.aig,1,1,1,1753,19,33307,5782,5.760464,0,0,synthflow_exact,Yosys abc gate set aig delay target 20,0.879,Yosys abc gate set aig delay target 20
