case,candidate_id,equivalent,area,delay,adp,notes
ex285,ex285_unknown_symcof_interleave_f10_k3,1,1027,16,16432,unknown symmetry cofactor class-onehot Verilog seed
ex285,ex285_unknown_symcof_interleave_f10_k4,1,1042,15,15630,unknown symmetry cofactor class-onehot Verilog seed
ex285,ex285_unknown_symcof_interleave_f10_k5,1,1170,15,17550,unknown symmetry cofactor class-onehot Verilog seed
ex285,ex285_unknown_symcof_interleave_f00_k3,1,1023,16,16368,unknown symmetry cofactor class-onehot Verilog seed
ex285,ex285_unknown_symcof_interleave_f00_k4,1,1049,16,16784,unknown symmetry cofactor class-onehot Verilog seed
ex285,ex285_unknown_symcof_interleave_f00_k5,1,1171,14,16394,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_k3,1,1431,19,27189,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_k4,1,1474,16,23584,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_k5,1,1584,15,23760,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_k3,1,1449,17,24633,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_k4,1,1473,17,25041,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_k5,1,1569,17,26673,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f10_k3,1,1762,19,33478,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f10_k4,1,1772,18,31896,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f10_k5,1,1879,17,31943,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f00_k3,1,1769,18,31842,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f00_k4,1,1755,18,31590,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_interleave_f00_k5,1,1899,18,34182,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f10_k3,1,1896,20,37920,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f10_k4,1,1930,18,34740,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f10_k5,1,2089,18,37602,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f00_k3,1,1940,21,40740,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f00_k4,1,1934,19,36746,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_interleave_f00_k5,1,2079,17,35343,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_interleave_f10_k3,1,1721,23,39583,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_interleave_f10_k4,1,1716,20,34320,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_interleave_f10_k5,1,2004,20,40080,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_interleave_f00_k3,1,1752,21,36792,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_interleave_f00_k4,1,1755,19,33345,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_interleave_f00_k5,1,2032,20,40640,unknown symmetry cofactor class-onehot Verilog seed
