case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex285,ex285_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex285/verilog/ex285_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex285/aigs/ex285_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex285,ex285_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex285/verilog/ex285_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex285/aigs/ex285_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex285,ex285_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex285/verilog/ex285_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex285/aigs/ex285_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex285,ex285_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex285/verilog/ex285_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex285/aigs/ex285_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex286,ex286_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex286/verilog/ex286_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex286/aigs/ex286_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex286,ex286_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex286/verilog/ex286_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex286/aigs/ex286_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex286,ex286_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex286/verilog/ex286_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex286/aigs/ex286_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex286,ex286_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex286/verilog/ex286_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex286/aigs/ex286_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex287,ex287_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex287/verilog/ex287_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex287/aigs/ex287_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex287,ex287_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex287/verilog/ex287_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex287/aigs/ex287_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex287,ex287_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex287/verilog/ex287_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex287/aigs/ex287_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex287,ex287_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex287/verilog/ex287_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex287/aigs/ex287_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex288,ex288_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex288/verilog/ex288_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex288/aigs/ex288_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex288,ex288_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex288/verilog/ex288_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex288/aigs/ex288_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex288,ex288_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex288/verilog/ex288_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex288/aigs/ex288_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex288,ex288_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex288/verilog/ex288_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex288/aigs/ex288_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex289,ex289_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex289/verilog/ex289_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex289/aigs/ex289_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex289,ex289_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex289/verilog/ex289_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex289/aigs/ex289_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex289,ex289_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex289/verilog/ex289_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex289/aigs/ex289_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex289,ex289_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex289/verilog/ex289_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex289/aigs/ex289_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex290,ex290_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex290/verilog/ex290_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex290/aigs/ex290_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,RuntimeError: degree-2 coordinate solve failed
ex290,ex290_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic,0,0,,,,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex290/verilog/ex290_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.v,student/work/ex285_ex299_frontend_quadratic_compressor_transfer_20260609_0546/ex290/aigs/ex290_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.aig,RuntimeError: degree-2 coordinate solve failed
