case,candidate_id,verilog_path,aig_path,evaluate_status,area,delay,adp,notes
ex286,ex286_unknown_bucket_count_classifier_bucket_count_sel3_default_recheck,student/work/ex286_ex288_frontend_bucket_count_classifier_20260609_1232/ex286/verilog/ex286_unknown_bucket_count_classifier.v,student/work/ex286_ex288_frontend_bucket_count_classifier_synthflow_20260609_1232/ex286/aigs/ex286_unknown_bucket_count_classifier_bucket_count_sel3_default_recheck.aig,OK,13075,23,300725,current project Yosys script sanity recheck
ex286,ex286_unknown_bucket_count_classifier_bucket_count_sel3_abc_g_aig,student/work/ex286_ex288_frontend_bucket_count_classifier_20260609_1232/ex286/verilog/ex286_unknown_bucket_count_classifier.v,student/work/ex286_ex288_frontend_bucket_count_classifier_synthflow_20260609_1232/ex286/aigs/ex286_unknown_bucket_count_classifier_bucket_count_sel3_abc_g_aig.aig,OK,13081,21,274701,Yosys abc gate set aig
ex286,ex286_unknown_bucket_count_classifier_bucket_count_sel3_extra_opt_share,student/work/ex286_ex288_frontend_bucket_count_classifier_20260609_1232/ex286/verilog/ex286_unknown_bucket_count_classifier.v,student/work/ex286_ex288_frontend_bucket_count_classifier_synthflow_20260609_1232/ex286/aigs/ex286_unknown_bucket_count_classifier_bucket_count_sel3_extra_opt_share.aig,OK,13078,23,300794,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex286,ex286_unknown_bucket_count_classifier_bucket_count_sel3_synth_preset,student/work/ex286_ex288_frontend_bucket_count_classifier_20260609_1232/ex286/verilog/ex286_unknown_bucket_count_classifier.v,student/work/ex286_ex288_frontend_bucket_count_classifier_synthflow_20260609_1232/ex286/aigs/ex286_unknown_bucket_count_classifier_bucket_count_sel3_synth_preset.aig,OK,12790,22,281380,Yosys synth preset with flatten
ex287,ex287_unknown_bucket_count_classifier_bucket_count_sel4_default_recheck,student/work/ex286_ex288_frontend_bucket_count_classifier_20260609_1232/ex287/verilog/ex287_unknown_bucket_count_classifier.v,student/work/ex286_ex288_frontend_bucket_count_classifier_synthflow_20260609_1232/ex287/aigs/ex287_unknown_bucket_count_classifier_bucket_count_sel4_default_recheck.aig,OK,20124,24,482976,current project Yosys script sanity recheck
ex287,ex287_unknown_bucket_count_classifier_bucket_count_sel4_abc_g_aig,student/work/ex286_ex288_frontend_bucket_count_classifier_20260609_1232/ex287/verilog/ex287_unknown_bucket_count_classifier.v,student/work/ex286_ex288_frontend_bucket_count_classifier_synthflow_20260609_1232/ex287/aigs/ex287_unknown_bucket_count_classifier_bucket_count_sel4_abc_g_aig.aig,OK,20131,23,463013,Yosys abc gate set aig
ex287,ex287_unknown_bucket_count_classifier_bucket_count_sel4_extra_opt_share,student/work/ex286_ex288_frontend_bucket_count_classifier_20260609_1232/ex287/verilog/ex287_unknown_bucket_count_classifier.v,student/work/ex286_ex288_frontend_bucket_count_classifier_synthflow_20260609_1232/ex287/aigs/ex287_unknown_bucket_count_classifier_bucket_count_sel4_extra_opt_share.aig,OK,20137,24,483288,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex287,ex287_unknown_bucket_count_classifier_bucket_count_sel4_synth_preset,student/work/ex286_ex288_frontend_bucket_count_classifier_20260609_1232/ex287/verilog/ex287_unknown_bucket_count_classifier.v,student/work/ex286_ex288_frontend_bucket_count_classifier_synthflow_20260609_1232/ex287/aigs/ex287_unknown_bucket_count_classifier_bucket_count_sel4_synth_preset.aig,OK,19440,25,486000,Yosys synth preset with flatten
ex288,ex288_unknown_bucket_count_classifier_bucket_count_sel3_default_recheck,student/work/ex286_ex288_frontend_bucket_count_classifier_20260609_1232/ex288/verilog/ex288_unknown_bucket_count_classifier.v,student/work/ex286_ex288_frontend_bucket_count_classifier_synthflow_20260609_1232/ex288/aigs/ex288_unknown_bucket_count_classifier_bucket_count_sel3_default_recheck.aig,OK,24017,28,672476,current project Yosys script sanity recheck
ex288,ex288_unknown_bucket_count_classifier_bucket_count_sel3_abc_g_aig,student/work/ex286_ex288_frontend_bucket_count_classifier_20260609_1232/ex288/verilog/ex288_unknown_bucket_count_classifier.v,student/work/ex286_ex288_frontend_bucket_count_classifier_synthflow_20260609_1232/ex288/aigs/ex288_unknown_bucket_count_classifier_bucket_count_sel3_abc_g_aig.aig,OK,23945,25,598625,Yosys abc gate set aig
ex288,ex288_unknown_bucket_count_classifier_bucket_count_sel3_extra_opt_share,student/work/ex286_ex288_frontend_bucket_count_classifier_20260609_1232/ex288/verilog/ex288_unknown_bucket_count_classifier.v,student/work/ex286_ex288_frontend_bucket_count_classifier_synthflow_20260609_1232/ex288/aigs/ex288_unknown_bucket_count_classifier_bucket_count_sel3_extra_opt_share.aig,OK,24014,26,624364,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex288,ex288_unknown_bucket_count_classifier_bucket_count_sel3_synth_preset,student/work/ex286_ex288_frontend_bucket_count_classifier_20260609_1232/ex288/verilog/ex288_unknown_bucket_count_classifier.v,student/work/ex286_ex288_frontend_bucket_count_classifier_synthflow_20260609_1232/ex288/aigs/ex288_unknown_bucket_count_classifier_bucket_count_sel3_synth_preset.aig,OK,23250,25,581250,Yosys synth preset with flatten
