case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex286,ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_default_recheck,unknown_bucket_count_classifier,default_recheck,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex286/verilog/ex286_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex286/aigs/ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_default_recheck.aig,1,1,1,13035,23,299805,2376,126.180556,0,0,13.101,current project Yosys script sanity recheck,synthflow_exact,current project Yosys script sanity recheck
ex286,ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_abc_g_aig,unknown_bucket_count_classifier,abc_g_aig,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex286/verilog/ex286_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex286/aigs/ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_abc_g_aig.aig,1,1,1,13222,21,277662,2376,116.861111,0,0,14.276,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex286,ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_extra_opt_share,unknown_bucket_count_classifier,extra_opt_share,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex286/verilog/ex286_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex286/aigs/ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_extra_opt_share.aig,1,1,1,13068,23,300564,2376,126.500000,0,0,13.859,extra opt_reduce/opt_muxtree/wreduce/share before techmap,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex286,ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_synth_preset,unknown_bucket_count_classifier,synth_preset,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex286/verilog/ex286_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex286/aigs/ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_synth_preset.aig,1,1,1,13284,25,332100,2376,139.772727,0,0,22.107,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex287,ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_default_recheck,unknown_bucket_count_classifier,default_recheck,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex287/verilog/ex287_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex287/aigs/ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_default_recheck.aig,1,1,1,20109,25,502725,5782,86.946558,0,0,22.170,current project Yosys script sanity recheck,synthflow_exact,current project Yosys script sanity recheck
ex287,ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_abc_g_aig,unknown_bucket_count_classifier,abc_g_aig,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex287/verilog/ex287_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex287/aigs/ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_abc_g_aig.aig,1,1,1,20106,24,482544,5782,83.456244,0,0,21.852,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex287,ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_extra_opt_share,unknown_bucket_count_classifier,extra_opt_share,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex287/verilog/ex287_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex287/aigs/ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_extra_opt_share.aig,1,1,1,20080,25,502000,5782,86.821169,0,0,22.211,extra opt_reduce/opt_muxtree/wreduce/share before techmap,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex287,ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_synth_preset,unknown_bucket_count_classifier,synth_preset,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex287/verilog/ex287_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex287/aigs/ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_synth_preset.aig,1,1,1,19978,27,539406,5782,93.290557,0,0,44.829,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex288,ex288_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_default_recheck,unknown_bucket_count_classifier,default_recheck,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex288/verilog/ex288_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex288/aigs/ex288_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_default_recheck.aig,1,1,1,24076,26,625976,16394,38.183238,0,0,30.472,current project Yosys script sanity recheck,synthflow_exact,current project Yosys script sanity recheck
ex288,ex288_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_abc_g_aig,unknown_bucket_count_classifier,abc_g_aig,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex288/verilog/ex288_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex288/aigs/ex288_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_abc_g_aig.aig,1,1,1,23978,24,575472,16394,35.102599,0,0,31.272,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
