case,output_bit,order_name,input_width,output_width,selected_features,key_width,mapped_keys,on_keys,off_keys,sampled_on_keys,best_cube_on_cover,best_cube_literals,best_cube_free_bits,avg_sample_cover,cube_count_lower_bound
ex286,0,lsb,13,13,raw3:raw10:xor6_7,15,4608,2202,2406,256,144,5,10,24.297,16
ex286,0,msb,13,13,raw3:raw10:xor6_7,15,4608,2202,2406,256,144,5,10,30.523,16
ex286,0,middle,13,13,raw3:raw10:xor6_7,15,4608,2202,2406,256,144,5,10,21.750,16
ex286,1,lsb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,40.602,16
ex286,1,msb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,40.945,16
ex286,1,middle,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,42.266,16
ex286,2,lsb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,41.711,16
ex286,2,msb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,44.109,16
ex286,2,middle,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,40.242,16
ex286,3,lsb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,42.516,16
ex286,3,msb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,37.789,16
ex286,3,middle,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,39.703,16
ex286,4,lsb,13,13,raw3:raw10:xor6_7,15,4608,2229,2379,256,144,5,10,24.590,16
ex286,4,msb,13,13,raw3:raw10:xor6_7,15,4608,2229,2379,256,144,5,10,28.695,16
ex286,4,middle,13,13,raw3:raw10:xor6_7,15,4608,2229,2379,256,144,5,10,24.102,16
ex286,5,lsb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,44.445,16
ex286,5,msb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,56.703,16
ex286,5,middle,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,60.047,16
ex286,6,lsb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,45.836,16
ex286,6,msb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,58.469,16
ex286,6,middle,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,60.750,16
ex286,7,lsb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,45.445,16
ex286,7,msb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,55.109,16
ex286,7,middle,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,60.859,16
ex286,8,lsb,13,13,raw3:raw10:xor6_7,15,4608,2406,2202,256,144,5,10,30.723,17
ex286,8,msb,13,13,raw3:raw10:xor6_7,15,4608,2406,2202,256,144,5,10,35.109,17
ex286,8,middle,13,13,raw3:raw10:xor6_7,15,4608,2406,2202,256,144,5,10,32.812,17
ex286,9,lsb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,39.617,16
ex286,9,msb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,39.891,16
ex286,9,middle,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,41.172,16
ex286,10,lsb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,42.047,16
ex286,10,msb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,43.805,16
ex286,10,middle,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,41.531,16
ex286,11,lsb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,43.238,16
ex286,11,msb,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,41.508,16
ex286,11,middle,13,13,raw3:raw10:xor6_7,15,4608,2304,2304,256,144,5,10,40.852,16
ex286,12,lsb,13,13,raw3:raw10:xor6_7,15,4608,2379,2229,256,144,5,10,26.793,17
ex286,12,msb,13,13,raw3:raw10:xor6_7,15,4608,2379,2229,256,144,5,10,30.227,17
ex286,12,middle,13,13,raw3:raw10:xor6_7,15,4608,2379,2229,256,144,5,10,25.625,17
ex287,0,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3381,3531,256,108,5,11,25.242,32
ex287,0,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3381,3531,256,108,6,10,33.883,32
ex287,0,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3381,3531,256,108,5,11,35.754,32
ex287,1,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3398,3514,256,126,5,11,27.809,27
ex287,1,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3398,3514,256,72,6,10,29.992,48
ex287,1,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3398,3514,256,108,5,11,36.172,32
