case,output_bit,input_width,output_width,selected_features,feature_count,nonzero_weights,matching_rows,total_rows,exact,epochs,top_weights
ex286,0,13,13,raw3:raw10:xor6_7,40,37,4348,8192,0,40,bias:-28;sel_1_raw10:-26;cnt0-cnt6:-11;sel_0_raw3:9;cnt6:9;cnt0-cnt4:-9;cnt1-cnt6:-8;cnt0-cnt7:-8;cnt0-cnt5:-8;cnt0-cnt2:-8;sel_2_xor6_7:-7;cnt4:7
ex286,1,13,13,raw3:raw10:xor6_7,40,38,4532,8192,0,40,bias:-43;sel_0_raw3:20;cnt4:11;cnt3-cnt4:-10;cnt4-cnt5:9;cnt1:9;cnt1-cnt3:8;sel_1_raw10:7;cnt6:7;cnt2:7;cnt1-cnt5:7;cnt7:6
ex286,2,13,13,raw3:raw10:xor6_7,40,37,4230,8192,0,40,cnt5:-13;cnt4:-13;sel_0_raw3:9;cnt1:-9;cnt0:-9;cnt5-cnt6:-8;cnt4-cnt6:-8;cnt3-cnt5:8;cnt3-cnt4:8;cnt5-cnt7:-7;cnt4-cnt7:-7;cnt2:-7
ex286,3,13,13,raw3:raw10:xor6_7,40,38,4381,8192,0,40,sel_0_raw3:17;cnt1-cnt5:11;cnt0-cnt1:-10;cnt5-cnt6:-8;cnt1-cnt2:8;bias:-8;cnt1-cnt4:7;cnt0-cnt6:-7;cnt5-cnt7:-6;cnt1-cnt3:6;cnt1:6;cnt5:-5
ex286,4,13,13,raw3:raw10:xor6_7,40,37,4182,8192,0,40,bias:-26;sel_1_raw10:19;sel_0_raw3:-15;sel_2_xor6_7:-10;cnt0:8;cnt0-cnt5:7;cnt0-cnt6:6;cnt0-cnt4:6;cnt7:5;cnt2:5;cnt5-cnt7:-4;cnt3:4
ex286,5,13,13,raw3:raw10:xor6_7,40,38,4691,8192,0,40,bias:-48;sel_1_raw10:20;sel_0_raw3:-17;sel_2_xor6_7:14;cnt4:14;cnt7:12;cnt6:12;cnt3:9;cnt4-cnt5:8;cnt1:8;cnt0:8;cnt2-cnt4:-7
ex286,6,13,13,raw3:raw10:xor6_7,40,36,4123,8192,0,40,bias:-33;sel_1_raw10:-26;cnt0-cnt4:13;cnt4-cnt6:-12;sel_2_xor6_7:11;cnt4-cnt7:-10;cnt4-cnt5:-10;cnt3-cnt4:8;cnt2-cnt4:8;cnt1-cnt4:8;cnt0:7;cnt6:6
ex286,7,13,13,raw3:raw10:xor6_7,40,37,4796,8192,0,40,bias:-82;cnt4:19;cnt6:18;cnt7:16;sel_2_xor6_7:15;cnt0:15;cnt5:14;cnt1:14;cnt3:12;cnt2:12;cnt3-cnt4:-7;cnt2-cnt4:-7
ex286,8,13,13,raw3:raw10:xor6_7,40,39,4805,8192,0,40,sel_1_raw10:-49;bias:-45;cnt5:16;cnt3:12;cnt1-cnt5:-12;cnt2:10;sel_2_xor6_7:9;cnt7:9;cnt6:9;cnt4-cnt5:-9;cnt1-cnt3:-8;cnt0-cnt5:-8
ex286,9,13,13,raw3:raw10:xor6_7,40,38,4692,8192,0,40,bias:-78;cnt1:21;cnt4:20;cnt3:18;cnt0:18;cnt5:17;cnt2:17;cnt7:15;cnt6:14;cnt1-cnt6:7;sel_2_xor6_7:6;cnt4-cnt6:6
ex286,10,13,13,raw3:raw10:xor6_7,40,39,4381,8192,0,40,bias:-52;cnt5:15;cnt4-cnt5:-13;cnt2:13;cnt3:12;cnt2-cnt4:11;cnt3-cnt4:10;cnt0:10;cnt5-cnt6:9;cnt1-cnt5:-9;cnt5-cnt7:8;cnt0-cnt4:8
ex286,11,13,13,raw3:raw10:xor6_7,40,34,4273,8192,0,40,bias:-47;cnt4:16;cnt5:15;sel_0_raw3:13;cnt1:13;cnt7:12;cnt3:12;cnt2:12;cnt0:12;sel_2_xor6_7:11;cnt6:11;sel_1_raw10:8
ex286,12,13,13,raw3:raw10:xor6_7,40,38,4212,8192,0,40,bias:-59;sel_1_raw10:29;sel_2_xor6_7:11;cnt0:7;cnt3:6;cnt2:6;cnt7:5;cnt5:5;cnt0-cnt4:5;cnt3-cnt4:4;cnt2-cnt4:4;cnt1:4
ex287,0,14,14,xor6_7:xor8_9:raw13:raw12,33,27,8538,16384,0,40,sel_3_raw12:-49;bias:-21;sel_1_xor8_9:-16;sel_2_raw13:-14;cnt4:14;cnt1-cnt4:-13;cnt3:9;sel_0_xor6_7:-8;cnt1-cnt3:-8;cnt6:7;cnt5:7;cnt4-cnt6:7
ex287,1,14,14,xor6_7:xor8_9:raw13:raw12,33,31,8319,16384,0,40,sel_2_raw13:-47;bias:-41;sel_3_raw12:-34;cnt3:29;cnt4:19;cnt3-cnt6:19;cnt2-cnt3:-19;cnt1:19;cnt0:18;cnt5:15;cnt3-cnt5:14;cnt0-cnt3:-11
ex287,2,14,14,xor6_7:xor8_9:raw13:raw12,33,32,8212,16384,0,40,sel_2_raw13:-92;sel_3_raw12:-31;bias:-18;sel_0_xor6_7:-14;cnt3-cnt4:-13;sel_1_xor8_9:12;cnt3-cnt6:-11;cnt1-cnt4:-9;cnt3-cnt5:-8;cnt4:7;cnt2-cnt3:7;cnt1-cnt6:-7
ex287,3,14,14,xor6_7:xor8_9:raw13:raw12,33,31,8763,16384,0,40,sel_2_raw13:-65;bias:-64;sel_3_raw12:-27;cnt2:20;cnt1:20;cnt4:19;cnt5:16;cnt3:16;cnt6:15;sel_1_xor8_9:13;cnt0:12;cnt0-cnt2:-8
ex287,4,14,14,xor6_7:xor8_9:raw13:raw12,33,31,8848,16384,0,40,sel_3_raw12:60;bias:-34;sel_1_xor8_9:-18;cnt0-cnt2:9;cnt2-cnt6:-8;cnt0-cnt3:8;cnt0-cnt1:8;sel_0_xor6_7:-7;cnt3-cnt6:-7;cnt2-cnt5:-7;cnt1-cnt6:-7;cnt3-cnt5:-6
ex287,5,14,14,xor6_7:xor8_9:raw13:raw12,33,31,9045,16384,0,40,sel_3_raw12:44;bias:-44;sel_2_raw13:-34;cnt3:19;sel_1_xor8_9:-15;cnt5:12;cnt4:12;cnt2-cnt3:-12;cnt1-cnt3:-12;cnt3-cnt6:11;cnt0:10;sel_0_xor6_7:-9
ex287,6,14,14,xor6_7:xor8_9:raw13:raw12,33,33,8107,16384,0,40,sel_2_raw13:-27;bias:-22;cnt3-cnt4:-15;cnt3-cnt5:-14;cnt1-cnt3:13;cnt0-cnt3:12;cnt3:-11;sel_0_xor6_7:10;cnt3-cnt6:-9;cnt2-cnt3:8;sel_3_raw12:-7;cnt2-cnt4:-7
ex287,7,14,14,xor6_7:xor8_9:raw13:raw12,33,32,8941,16384,0,40,bias:-94;cnt3:29;sel_3_raw12:28;sel_2_raw13:-27;cnt4:24;cnt5:21;cnt1:20;cnt3-cnt6:18;sel_0_xor6_7:17;cnt2:15;cnt0:15;cnt2-cnt3:-14
ex287,8,14,14,xor6_7:xor8_9:raw13:raw12,33,31,8684,16384,0,40,sel_2_raw13:60;sel_3_raw12:-52;bias:-45;sel_0_xor6_7:11;cnt1-cnt6:-8;cnt1-cnt4:-8;cnt3-cnt6:-6;cnt3-cnt4:-6;cnt0-cnt1:6;cnt2-cnt6:-5;cnt2-cnt4:-5;sel_1_xor8_9:-4
ex287,9,14,14,xor6_7:xor8_9:raw13:raw12,33,30,8585,16384,0,40,bias:-78;sel_2_raw13:51;cnt3:25;cnt2:25;cnt0:25;cnt1:24;sel_0_xor6_7:21;cnt6:21;cnt5:19;cnt4:16;sel_3_raw12:-15;cnt3-cnt4:9
ex287,10,14,14,xor6_7:xor8_9:raw13:raw12,33,32,8748,16384,0,40,bias:-66;sel_2_raw13:36;cnt2-cnt3:25;cnt0-cnt3:23;cnt3-cnt6:-17;cnt2-cnt4:16;cnt2:16;cnt1-cnt2:-15;cnt2-cnt5:14;cnt0-cnt4:14;cnt0:14;cnt0-cnt1:13
ex287,11,14,14,xor6_7:xor8_9:raw13:raw12,33,27,8529,16384,0,40,bias:-107;sel_2_raw13:45;cnt3:32;cnt2:30;cnt1:22;cnt6:19;cnt5:19;cnt4:19;cnt0:19;sel_3_raw12:-17;sel_1_xor8_9:17;sel_0_xor6_7:13
