case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex286,ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig,unknown_symmetry_cofactor_classonehot,abc_g_aig,student/work/ex286_frontend_multipair_symcof_20260609_0623/ex286/verilog/ex286_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_synthflow_20260609_1140/ex286/aigs/ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig.aig,1,1,1,1807,13,23491,2376,9.886785,0,0,1.585,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex286,ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_extra_opt_share,unknown_symmetry_cofactor_classonehot,extra_opt_share,student/work/ex286_frontend_multipair_symcof_20260609_0623/ex286/verilog/ex286_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_synthflow_20260609_1140/ex286/aigs/ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_extra_opt_share.aig,1,1,1,1811,14,25354,2376,10.670875,0,0,1.584,extra opt_reduce/opt_muxtree/wreduce/share before techmap,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex286,ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_late_flatten,unknown_symmetry_cofactor_classonehot,late_flatten,student/work/ex286_frontend_multipair_symcof_20260609_0623/ex286/verilog/ex286_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_synthflow_20260609_1140/ex286/aigs/ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_late_flatten.aig,1,1,1,1811,14,25354,2376,10.670875,0,0,1.545,move flatten after techmap,synthflow_exact,move flatten after techmap
ex286,ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_synth_preset,unknown_symmetry_cofactor_classonehot,synth_preset,student/work/ex286_frontend_multipair_symcof_20260609_0623/ex286/verilog/ex286_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_synthflow_20260609_1140/ex286/aigs/ex286_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_synth_preset.aig,1,1,1,1739,14,24346,2376,10.246633,0,0,2.052,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex287,ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_abc_g_aig,unknown_symmetry_cofactor_classonehot,abc_g_aig,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f00_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_synthflow_20260609_1140/ex287/aigs/ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_abc_g_aig.aig,1,1,1,2077,14,29078,5782,5.029056,0,0,1.893,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex287,ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_extra_opt_share,unknown_symmetry_cofactor_classonehot,extra_opt_share,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f00_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_synthflow_20260609_1140/ex287/aigs/ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_extra_opt_share.aig,1,1,1,2082,14,29148,5782,5.041162,0,0,1.878,extra opt_reduce/opt_muxtree/wreduce/share before techmap,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex287,ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_late_flatten,unknown_symmetry_cofactor_classonehot,late_flatten,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f00_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_synthflow_20260609_1140/ex287/aigs/ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_late_flatten.aig,1,1,1,2082,14,29148,5782,5.041162,0,0,1.841,move flatten after techmap,synthflow_exact,move flatten after techmap
ex287,ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_synth_preset,unknown_symmetry_cofactor_classonehot,synth_preset,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f00_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_synthflow_20260609_1140/ex287/aigs/ex287_unknown_symmetry_cofactor_classonehot_interleave_f00_k6_synth_preset.aig,1,1,1,2004,15,30060,5782,5.198893,0,0,2.473,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex288,ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig,unknown_symmetry_cofactor_classonehot,abc_g_aig,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_synthflow_20260609_1140/ex288/aigs/ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig.aig,1,1,1,2281,14,31934,16394,1.947908,0,0,2.806,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex288,ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_extra_opt_share,unknown_symmetry_cofactor_classonehot,extra_opt_share,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6.v,student/work/ex286_ex288_frontend_lowdelay_symcof_synthflow_20260609_1140/ex288/aigs/ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_extra_opt_share.aig,1,1,1,2281,16,36496,16394,2.226180,0,0,3.004,extra opt_reduce/opt_muxtree/wreduce/share before techmap,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap
