case,input_width,split_bit,input_transform,output_transform,matches,total,exact,match_ratio,examples
ex289,16,0,comp_all,identity,803,32768,0,0.024506,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x2:p=0xfffd:pred=0x2000:exp=0xfffb;x=0x4:p=0xfffb:pred=0x200:exp=0xffbf
ex289,16,0,comp_all,comp,1,32768,0,0.000031,x=0x2:p=0xfffd:pred=0xdfff:exp=0xfffb;x=0x4:p=0xfffb:pred=0xfdff:exp=0xffbf;x=0x6:p=0xfff9:pred=0xf5ff:exp=0xffaf
ex289,16,0,comp_all,reverse,0,32768,0,0.000000,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x2:p=0xfffd:pred=0x4:exp=0xfffb;x=0x4:p=0xfffb:pred=0x40:exp=0xffbf
ex289,16,0,comp_all,comp_reverse,32768,32768,1,1.000000,
ex289,16,0,comp_all,pair_swap,131,32768,0,0.003998,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x2:p=0xfffd:pred=0x2000:exp=0xfffb;x=0x4:p=0xfffb:pred=0x100:exp=0xffbf
ex289,16,0,comp_all,comp_pair_swap,33,32768,0,0.001007,x=0x2:p=0xfffd:pred=0xdfff:exp=0xfffb;x=0x4:p=0xfffb:pred=0xfeff:exp=0xffbf;x=0x6:p=0xfff9:pred=0xfaff:exp=0xffaf
ex289,16,0,reverse_comp_all,identity,187,16384,0,0.011414,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x2:p=0xbfff:pred=0x2000:exp=0xfbff;x=0x4:p=0xdfff:pred=0x200:exp=0xbfff
ex289,16,0,reverse_comp_all,comp,301,16384,0,0.018372,x=0x2:p=0xbfff:pred=0xdfff:exp=0xfbff;x=0x4:p=0xdfff:pred=0xfdff:exp=0xbfff;x=0x6:p=0x9fff:pred=0xf5ff:exp=0xfaff
ex289,16,0,reverse_comp_all,reverse,236,16384,0,0.014404,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x2:p=0xbfff:pred=0x4:exp=0xfbff;x=0x4:p=0xdfff:pred=0x40:exp=0xbfff
ex289,16,0,reverse_comp_all,comp_reverse,420,16384,0,0.025635,x=0x2:p=0xbfff:pred=0xfffb:exp=0xfbff;x=0x4:p=0xdfff:pred=0xffbf:exp=0xbfff;x=0x6:p=0x9fff:pred=0xffaf:exp=0xfaff
ex289,16,0,reverse_comp_all,pair_swap,19,16384,0,0.001160,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x2:p=0xbfff:pred=0x2000:exp=0xfbff;x=0x4:p=0xdfff:pred=0x100:exp=0xbfff
ex289,16,0,reverse_comp_all,comp_pair_swap,131,16384,0,0.007996,x=0x2:p=0xbfff:pred=0xdfff:exp=0xfbff;x=0x4:p=0xdfff:pred=0xfeff:exp=0xbfff;x=0x8:p=0xefff:pred=0xffef:exp=0xdfff
ex289,16,0,reverse_comp_except_split,identity,0,16384,0,0.000000,x=0x0:p=0x7fff:pred=0x0:exp=0xffbf;x=0x2:p=0x3fff:pred=0x2000:exp=0xfff3;x=0x4:p=0x5fff:pred=0x200:exp=0xffaf
ex289,16,0,reverse_comp_except_split,comp,0,16384,0,0.000000,x=0x0:p=0x7fff:pred=0xffff:exp=0xffbf;x=0x2:p=0x3fff:pred=0xdfff:exp=0xfff3;x=0x4:p=0x5fff:pred=0xfdff:exp=0xffaf
ex289,16,0,reverse_comp_except_split,reverse,0,16384,0,0.000000,x=0x0:p=0x7fff:pred=0x0:exp=0xffbf;x=0x2:p=0x3fff:pred=0x4:exp=0xfff3;x=0x4:p=0x5fff:pred=0x40:exp=0xffaf
ex289,16,0,reverse_comp_except_split,comp_reverse,0,16384,0,0.000000,x=0x0:p=0x7fff:pred=0xffff:exp=0xffbf;x=0x2:p=0x3fff:pred=0xfffb:exp=0xfff3;x=0x4:p=0x5fff:pred=0xffbf:exp=0xffaf
ex289,16,0,reverse_comp_except_split,pair_swap,0,16384,0,0.000000,x=0x0:p=0x7fff:pred=0x0:exp=0xffbf;x=0x2:p=0x3fff:pred=0x2000:exp=0xfff3;x=0x4:p=0x5fff:pred=0x100:exp=0xffaf
ex289,16,0,reverse_comp_except_split,comp_pair_swap,0,16384,0,0.000000,x=0x0:p=0x7fff:pred=0xffff:exp=0xffbf;x=0x2:p=0x3fff:pred=0xdfff:exp=0xfff3;x=0x4:p=0x5fff:pred=0xfeff:exp=0xffaf
ex289,16,0,reverse,identity,276,16384,0,0.016846,x=0x8000:p=0x1:pred=0x200:exp=0x4000;x=0x8002:p=0x4001:pred=0x820:exp=0x410;x=0x8004:p=0x2001:pred=0x2002:exp=0x1001
ex289,16,0,reverse,comp,236,16384,0,0.014404,x=0x8000:p=0x1:pred=0xfdff:exp=0x4000;x=0x8002:p=0x4001:pred=0xf7df:exp=0x410;x=0x8004:p=0x2001:pred=0xdffd:exp=0x1001
ex289,16,0,reverse,reverse,300,16384,0,0.018311,x=0x8000:p=0x1:pred=0x40:exp=0x4000;x=0x8004:p=0x2001:pred=0x4004:exp=0x1001;x=0x8006:p=0x6001:pred=0x5001:exp=0x150
ex289,16,0,reverse,comp_reverse,384,16384,0,0.023438,x=0x8000:p=0x1:pred=0xffbf:exp=0x4000;x=0x8002:p=0x4001:pred=0xfbef:exp=0x410;x=0x8004:p=0x2001:pred=0xbffb:exp=0x1001
ex289,16,0,reverse,pair_swap,48,16384,0,0.002930,x=0x8000:p=0x1:pred=0x100:exp=0x4000;x=0x8004:p=0x2001:pred=0x2002:exp=0x1001;x=0x8006:p=0x6001:pred=0x800a:exp=0x150
ex289,16,0,reverse,comp_pair_swap,20,16384,0,0.001221,x=0x8000:p=0x1:pred=0xfeff:exp=0x4000;x=0x8002:p=0x4001:pred=0xfbef:exp=0x410;x=0x8004:p=0x2001:pred=0xdffd:exp=0x1001
ex289,16,1,comp_all,identity,803,32768,0,0.024506,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0xfffe:pred=0x4000:exp=0xfffd;x=0x4:p=0xfffb:pred=0x200:exp=0xffbf
ex289,16,1,comp_all,comp,1,32768,0,0.000031,x=0x1:p=0xfffe:pred=0xbfff:exp=0xfffd;x=0x4:p=0xfffb:pred=0xfdff:exp=0xffbf;x=0x5:p=0xfffa:pred=0xfaff:exp=0xff5f
ex289,16,1,comp_all,reverse,0,32768,0,0.000000,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0xfffe:pred=0x2:exp=0xfffd;x=0x4:p=0xfffb:pred=0x40:exp=0xffbf
ex289,16,1,comp_all,comp_reverse,32768,32768,1,1.000000,
ex289,16,1,comp_all,pair_swap,131,32768,0,0.003998,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0xfffe:pred=0x4000:exp=0xfffd;x=0x4:p=0xfffb:pred=0x100:exp=0xffbf
ex289,16,1,comp_all,comp_pair_swap,33,32768,0,0.001007,x=0x1:p=0xfffe:pred=0xbfff:exp=0xfffd;x=0x4:p=0xfffb:pred=0xfeff:exp=0xffbf;x=0x5:p=0xfffa:pred=0xf5ff:exp=0xff5f
ex289,16,1,reverse_comp_all,identity,191,16384,0,0.011658,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0x7fff:pred=0x4000:exp=0xffbf;x=0x4:p=0xdfff:pred=0x200:exp=0xbfff
ex289,16,1,reverse_comp_all,comp,289,16384,0,0.017639,x=0x1:p=0x7fff:pred=0xbfff:exp=0xffbf;x=0x4:p=0xdfff:pred=0xfdff:exp=0xbfff;x=0x5:p=0x5fff:pred=0xfaff:exp=0xffaf
ex289,16,1,reverse_comp_all,reverse,232,16384,0,0.014160,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0x7fff:pred=0x2:exp=0xffbf;x=0x4:p=0xdfff:pred=0x40:exp=0xbfff
ex289,16,1,reverse_comp_all,comp_reverse,432,16384,0,0.026367,x=0x1:p=0x7fff:pred=0xfffd:exp=0xffbf;x=0x4:p=0xdfff:pred=0xffbf:exp=0xbfff;x=0x5:p=0x5fff:pred=0xff5f:exp=0xffaf
ex289,16,1,reverse_comp_all,pair_swap,19,16384,0,0.001160,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0x7fff:pred=0x4000:exp=0xffbf;x=0x4:p=0xdfff:pred=0x100:exp=0xbfff
ex289,16,1,reverse_comp_all,comp_pair_swap,131,16384,0,0.007996,x=0x1:p=0x7fff:pred=0xbfff:exp=0xffbf;x=0x4:p=0xdfff:pred=0xfeff:exp=0xbfff;x=0x5:p=0x5fff:pred=0xf5ff:exp=0xffaf
ex289,16,1,reverse_comp_except_split,identity,0,16384,0,0.000000,x=0x0:p=0xbfff:pred=0x0:exp=0xfbff;x=0x1:p=0x3fff:pred=0x4000:exp=0xfff3;x=0x4:p=0x9fff:pred=0x200:exp=0xfaff
ex289,16,1,reverse_comp_except_split,comp,0,16384,0,0.000000,x=0x0:p=0xbfff:pred=0xffff:exp=0xfbff;x=0x1:p=0x3fff:pred=0xbfff:exp=0xfff3;x=0x4:p=0x9fff:pred=0xfdff:exp=0xfaff
ex289,16,1,reverse_comp_except_split,reverse,0,16384,0,0.000000,x=0x0:p=0xbfff:pred=0x0:exp=0xfbff;x=0x1:p=0x3fff:pred=0x2:exp=0xfff3;x=0x4:p=0x9fff:pred=0x40:exp=0xfaff
ex289,16,1,reverse_comp_except_split,comp_reverse,0,16384,0,0.000000,x=0x0:p=0xbfff:pred=0xffff:exp=0xfbff;x=0x1:p=0x3fff:pred=0xfffd:exp=0xfff3;x=0x4:p=0x9fff:pred=0xffbf:exp=0xfaff
ex289,16,1,reverse_comp_except_split,pair_swap,0,16384,0,0.000000,x=0x0:p=0xbfff:pred=0x0:exp=0xfbff;x=0x1:p=0x3fff:pred=0x4000:exp=0xfff3;x=0x4:p=0x9fff:pred=0x100:exp=0xfaff
ex289,16,1,reverse_comp_except_split,comp_pair_swap,0,16384,0,0.000000,x=0x0:p=0xbfff:pred=0xffff:exp=0xfbff;x=0x1:p=0x3fff:pred=0xbfff:exp=0xfff3;x=0x4:p=0x9fff:pred=0xfeff:exp=0xfaff
ex289,16,1,reverse,identity,264,16384,0,0.016113,x=0x4000:p=0x2:pred=0x20:exp=0x2000;x=0x4001:p=0x8002:pred=0x410:exp=0x820;x=0x4004:p=0x2002:pred=0x2002:exp=0x8008
ex289,16,1,reverse,comp,240,16384,0,0.014648,x=0x4000:p=0x2:pred=0xffdf:exp=0x2000;x=0x4001:p=0x8002:pred=0xfbef:exp=0x820;x=0x4004:p=0x2002:pred=0xdffd:exp=0x8008
ex289,16,1,reverse,reverse,312,16384,0,0.019043,x=0x4000:p=0x2:pred=0x400:exp=0x2000;x=0x4004:p=0x2002:pred=0x4004:exp=0x8008;x=0x4005:p=0xa002:pred=0x800a:exp=0xa80
ex289,16,1,reverse,comp_reverse,380,16384,0,0.023193,x=0x4000:p=0x2:pred=0xfbff:exp=0x2000;x=0x4001:p=0x8002:pred=0xf7df:exp=0x820;x=0x4004:p=0x2002:pred=0xbffb:exp=0x8008
ex289,16,1,reverse,pair_swap,48,16384,0,0.002930,x=0x4000:p=0x2:pred=0x10:exp=0x2000;x=0x4004:p=0x2002:pred=0x2002:exp=0x8008;x=0x4005:p=0xa002:pred=0x5001:exp=0xa80
ex289,16,1,reverse,comp_pair_swap,20,16384,0,0.001221,x=0x4000:p=0x2:pred=0xffef:exp=0x2000;x=0x4001:p=0x8002:pred=0xf7df:exp=0x820;x=0x4004:p=0x2002:pred=0xdffd:exp=0x8008
ex289,16,2,comp_all,identity,803,32768,0,0.024506,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0xfffe:pred=0x4000:exp=0xfffd;x=0x2:p=0xfffd:pred=0x2000:exp=0xfffb
ex289,16,2,comp_all,comp,1,32768,0,0.000031,x=0x1:p=0xfffe:pred=0xbfff:exp=0xfffd;x=0x2:p=0xfffd:pred=0xdfff:exp=0xfffb;x=0x3:p=0xfffc:pred=0xfff3:exp=0xcfff
ex289,16,2,comp_all,reverse,0,32768,0,0.000000,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0xfffe:pred=0x2:exp=0xfffd;x=0x2:p=0xfffd:pred=0x4:exp=0xfffb
ex289,16,2,comp_all,comp_reverse,32768,32768,1,1.000000,
ex289,16,2,comp_all,pair_swap,131,32768,0,0.003998,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0xfffe:pred=0x4000:exp=0xfffd;x=0x2:p=0xfffd:pred=0x2000:exp=0xfffb
