case,input_width,input_order,output_order,lookahead,best_exact_output_prefix,worst_conflicts,majority_match_ratio,prefix_conflicts_keys,input_order_bits,output_order_bits
ex286,13,natural,natural,0,0,3942,0.291598,1:1:2:2;2:2:4:4;3:3:8:8;4:4:16:16;5:5:32:32;6:6:64:64;7:7:128:128;8:8:256:256;9:9:512:512;10:10:1024:1024;11:11:2048:2048;12:12:3942:4096;13:13:0:8192,0:1:2:3:4:5:6:7:8:9:10:11:12,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,13,natural,natural,1,0,3942,0.368267,1:2:4:4;2:3:8:8;3:4:16:16;4:5:32:32;5:6:64:64;6:7:128:128;7:8:256:256;8:9:512:512;9:10:1024:1024;10:11:2048:2048;11:12:3942:4096;12:13:0:8192;13:13:0:8192,0:1:2:3:4:5:6:7:8:9:10:11:12,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,13,natural,natural,2,0,3942,0.443735,1:3:8:8;2:4:16:16;3:5:32:32;4:6:64:64;5:7:128:128;6:8:256:256;7:9:512:512;8:10:1024:1024;9:11:2048:2048;10:12:3942:4096;11:13:0:8192;12:13:0:8192;13:13:0:8192,0:1:2:3:4:5:6:7:8:9:10:11:12,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,13,natural,natural,3,0,3942,0.518348,1:4:16:16;2:5:32:32;3:6:64:64;4:7:128:128;5:8:256:256;6:9:512:512;7:10:1024:1024;8:11:2048:2048;9:12:3942:4096;10:13:0:8192;11:13:0:8192;12:13:0:8192;13:13:0:8192,0:1:2:3:4:5:6:7:8:9:10:11:12,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,13,natural,natural,4,0,3794,0.591994,1:5:32:32;2:6:64:64;3:7:128:128;4:8:256:256;5:9:512:512;6:10:1024:1024;7:11:2048:2048;8:12:3794:4096;9:13:0:8192;10:13:0:8192;11:13:0:8192;12:13:0:8192;13:13:0:8192,0:1:2:3:4:5:6:7:8:9:10:11:12,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,13,natural,natural,6,0,3794,0.730779,1:7:128:128;2:8:256:256;3:9:512:512;4:10:1024:1024;5:11:2048:2048;6:12:3794:4096;7:13:0:8192;8:13:0:8192;9:13:0:8192;10:13:0:8192;11:13:0:8192;12:13:0:8192;13:13:0:8192,0:1:2:3:4:5:6:7:8:9:10:11:12,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,13,natural,reverse,0,0,3955,0.288715,1:1:2:2;2:2:4:4;3:3:8:8;4:4:16:16;5:5:32:32;6:6:64:64;7:7:128:128;8:8:256:256;9:9:512:512;10:10:1024:1024;11:11:2048:2048;12:12:3955:4096;13:13:0:8192,0:1:2:3:4:5:6:7:8:9:10:11:12,12:11:10:9:8:7:6:5:4:3:2:1:0
ex286,13,natural,reverse,1,0,3955,0.367450,1:2:4:4;2:3:8:8;3:4:16:16;4:5:32:32;5:6:64:64;6:7:128:128;7:8:256:256;8:9:512:512;9:10:1024:1024;10:11:2048:2048;11:12:3955:4096;12:13:0:8192;13:13:0:8192,0:1:2:3:4:5:6:7:8:9:10:11:12,12:11:10:9:8:7:6:5:4:3:2:1:0
ex286,13,natural,reverse,2,0,3955,0.442533,1:3:8:8;2:4:16:16;3:5:32:32;4:6:64:64;5:7:128:128;6:8:256:256;7:9:512:512;8:10:1024:1024;9:11:2048:2048;10:12:3955:4096;11:13:0:8192;12:13:0:8192;13:13:0:8192,0:1:2:3:4:5:6:7:8:9:10:11:12,12:11:10:9:8:7:6:5:4:3:2:1:0
ex286,13,natural,reverse,3,0,3955,0.517475,1:4:16:16;2:5:32:32;3:6:64:64;4:7:128:128;5:8:256:256;6:9:512:512;7:10:1024:1024;8:11:2048:2048;9:12:3955:4096;10:13:0:8192;11:13:0:8192;12:13:0:8192;13:13:0:8192,0:1:2:3:4:5:6:7:8:9:10:11:12,12:11:10:9:8:7:6:5:4:3:2:1:0
