case,input_width,transform,degree,total_anf_terms,low_degree_terms,max_anf_degree,exact_low_degree_bits,raw_bdd_nodes_sum,residual_bdd_nodes_sum,best_bit_residual_nodes,worst_bit_residual_nodes,raw_bit_nodes,residual_bit_nodes
ex286,13,raw,1,14765,13,13,0,7377,7377,256,679,679:657:657:659:663:256:256:256:654:657:657:659:667,679:657:657:659:663:256:256:256:654:657:657:659:667
ex286,13,raw,2,14765,173,13,0,7377,7641,283,697,679:657:657:659:663:256:256:256:654:657:657:659:667,697:688:657:683:679:286:285:283:670:687:664:685:677
ex286,13,raw,3,14765,937,13,0,7377,7764,266,706,679:657:657:659:663:256:256:256:654:657:657:659:667,705:698:675:690:706:270:266:267:695:695:704:687:706
ex286,13,pair_key,1,23247,11,13,0,7365,7368,252,679,679:657:657:659:663:252:252:252:654:657:657:659:667,679:657:658:660:663:252:252:252:654:658:657:659:667
ex286,13,pair_key,2,23247,159,13,0,7365,8238,276,808,679:657:657:659:663:252:252:252:654:657:657:659:667,762:808:683:789:681:276:287:297:734:761:714:765:681
ex286,13,pair_key,3,23247,980,13,0,7365,10932,309,1060,679:657:657:659:663:252:252:252:654:657:657:659:667,1019:1060:899:1031:955:341:309:337:987:1033:952:1043:966
ex286,13,prefix_natural,1,35031,25,13,0,7573,7573,273,689,689:663:663:673:689:273:273:273:689:663:663:673:689,689:663:665:673:687:273:273:273:689:663:663:673:689
ex286,13,prefix_natural,2,35031,357,13,0,7573,10552,514,1001,689:663:663:673:689:273:273:273:689:663:663:673:689,1001:998:692:996:703:514:532:534:831:997:997:761:996
ex286,13,prefix_natural,3,35031,1897,13,0,7573,12186,484,1096,689:663:663:673:689:273:273:273:689:663:663:673:689,1065:1092:1091:1078:1067:485:485:484:1003:1092:1096:1078:1070
ex286,13,suffix_natural,1,44341,25,13,0,8701,8710,433,748,738:735:734:742:750:433:433:433:748:735:734:742:744,747:737:736:742:746:433:433:433:748:735:734:742:744
ex286,13,suffix_natural,2,44341,347,13,0,8701,12243,768,1047,738:735:734:742:750:433:433:433:748:735:734:742:744,1026:1024:814:1047:768:812:856:852:1045:1038:1040:890:1031
ex286,13,suffix_natural,3,44341,1905,13,0,8701,13371,788,1110,738:735:734:742:750:433:433:433:748:735:734:742:744,1092:1079:1107:1110:1091:801:788:803:1094:1109:1110:1096:1091
ex286,13,prefix_reverse,1,44341,25,13,0,8701,8710,433,748,738:735:734:742:750:433:433:433:748:735:734:742:744,747:737:736:742:746:433:433:433:748:735:734:742:744
ex286,13,prefix_reverse,2,44341,347,13,0,8701,12243,768,1047,738:735:734:742:750:433:433:433:748:735:734:742:744,1026:1024:814:1047:768:812:856:852:1045:1038:1040:890:1031
ex286,13,prefix_reverse,3,44341,1905,13,0,8701,13371,788,1110,738:735:734:742:750:433:433:433:748:735:734:742:744,1092:1079:1107:1110:1091:801:788:803:1094:1109:1110:1096:1091
ex286,13,prefix_onehot_slot,1,42843,25,13,0,6328,6345,390,538,533:503:503:514:525:390:390:390:523:503:503:514:537,538:509:503:514:525:390:390:396:523:503:503:514:537
ex286,13,prefix_onehot_slot,2,42843,331,13,0,6328,9487,526,886,533:503:503:514:525:390:390:390:523:503:503:514:537,755:871:583:526:868:806:576:612:880:836:599:689:886
ex286,13,prefix_onehot_slot,3,42843,1693,13,0,6328,12837,876,1041,533:503:503:514:525:390:390:390:523:503:503:514:537,1024:1030:1020:1002:1010:934:877:876:1026:1028:962:1007:1041
ex286,13,suffix_onehot_slot,1,40579,25,13,0,8160,8286,609,703,639:613:613:613:642:642:642:642:635:613:613:613:640,703:679:609:613:642:642:642:642:635:613:613:613:640
ex286,13,suffix_onehot_slot,2,40579,345,13,0,8160,11126,623,1003,639:613:613:613:642:642:642:642:635:613:613:613:640,1003:982:996:707:998:958:678:686:830:1003:623:981:681
ex286,13,suffix_onehot_slot,3,40579,1781,13,0,8160,13188,969,1052,639:613:613:613:642:642:642:642:635:613:613:613:640,1040:1045:1043:998:1049:1004:985:969:990:1052:973:1043:997
ex287,14,raw,1,27860,14,14,0,12515,12516,256,1059,1014:1014:927:934:1058:1053:256:256:1059:1054:927:934:1010:1019,1014:1014:927:934:1059:1053:256:256:1059:1054:927:934:1010:1019
ex287,14,raw,2,27860,190,14,0,12515,12977,283,1084,1014:1014:927:934:1058:1053:256:256:1059:1054:927:934:1010:1019,1047:1040:977:974:1077:1084:285:283:1058:1077:982:971:1061:1061
ex287,14,raw,3,27860,1044,14,0,12515,13334,266,1095,1014:1014:927:934:1058:1053:256:256:1059:1054:927:934:1010:1019,1095:1093:1057:1024:1082:1086:266:267:1085:1069:1034:1034:1054:1088
ex287,14,pair_key,1,60128,11,14,0,12909,12913,443,1063,1015:1017:925:934:1061:1058:443:443:1063:1056:925:934:1012:1023,1015:1017:925:935:1063:1058:443:443:1063:1057:925:934:1012:1023
ex287,14,pair_key,2,60128,176,14,0,12909,14556,524,1233,1015:1017:925:934:1061:1058:443:443:1063:1056:925:934:1012:1023,1057:1146:1009:1141:1099:1174:524:543:1161:1233:1073:1157:1067:1172
ex287,14,pair_key,3,60128,1201,14,0,12909,20835,729,1831,1015:1017:925:934:1061:1058:443:443:1063:1056:925:934:1012:1023,1526:1789:1412:1606:1657:1699:729:807:1654:1679:1398:1704:1344:1831
ex287,14,prefix_natural,1,77849,27,14,0,12339,12367,273,1077,1008:1005:868:874:1076:1055:273:273:1077:1053:868:874:1023:1012,1023:1020:869:871:1076:1055:273:273:1077:1053:868:874:1023:1012
ex287,14,prefix_natural,2,77849,405,14,0,12339,18400,532,1825,1008:1005:868:874:1076:1055:273:273:1077:1053:868:874:1023:1012,1825:1804:1183:1004:1600:1580:532:534:1820:1349:1447:1434:1073:1215
ex287,14,prefix_natural,3,77849,2213,14,0,12339,24589,484,2043,1008:1005:868:874:1076:1055:273:273:1077:1053:868:874:1023:1012,1989:2043:2036:1772:2041:1935:485:484:1995:1978:2038:1764:1992:2037
ex287,14,suffix_natural,1,85225,27,14,0,13678,13838,433,1132,1052:1032:1060:1060:1123:1074:433:433:1119:1073:1060:1060:1061:1038,1132:1117:1058:1057:1123:1074:433:433:1119:1073:1060:1060:1061:1038
ex287,14,suffix_natural,2,85225,387,14,0,13678,19980,852,1848,1052:1032:1060:1060:1123:1074:433:433:1119:1073:1060:1060:1061:1038,1839:1848:1333:1222:1688:1646:856:852:1562:1545:1658:1707:1146:1078
ex287,14,suffix_natural,3,85225,2195,14,0,13678,25364,788,2064,1052:1032:1060:1060:1123:1074:433:433:1119:1073:1060:1060:1061:1038,2005:2045:2055:1935:1951:1957:788:803:1881:2008:2064:1943:1873:2056
ex287,14,prefix_reverse,1,85225,27,14,0,13678,13838,433,1132,1052:1032:1060:1060:1123:1074:433:433:1119:1073:1060:1060:1061:1038,1132:1117:1058:1057:1123:1074:433:433:1119:1073:1060:1060:1061:1038
ex287,14,prefix_reverse,2,85225,387,14,0,13678,19980,852,1848,1052:1032:1060:1060:1123:1074:433:433:1119:1073:1060:1060:1061:1038,1839:1848:1333:1222:1688:1646:856:852:1562:1545:1658:1707:1146:1078
ex287,14,prefix_reverse,3,85225,2195,14,0,13678,25364,788,2064,1052:1032:1060:1060:1123:1074:433:433:1119:1073:1060:1060:1061:1038,2005:2045:2055:1935:1951:1957:788:803:1881:2008:2064:1943:1873:2056
ex287,14,prefix_onehot_slot,1,96313,27,14,0,18108,18106,767,1399,1379:1367:1371:1377:1402:1394:767:767:1398:1380:1371:1377:1388:1370,1388:1370:1371:1375:1399:1394:767:767:1398:1380:1371:1377:1379:1370
ex287,14,prefix_onehot_slot,2,96313,407,14,0,18108,23896,828,2114,1379:1367:1371:1377:1402:1394:767:767:1398:1380:1371:1377:1388:1370,2079:2080:1603:1779:1402:1920:828:838:1660:1659:2114:1831:2049:2054
ex287,14,prefix_onehot_slot,3,96313,2347,14,0,18108,27913,1107,2155,1379:1367:1371:1377:1402:1394:767:767:1398:1380:1371:1377:1388:1370,2146:2155:2149:2080:2128:2147:1107:1134:2140:2145:2147:2146:2146:2143
ex287,14,suffix_onehot_slot,1,86895,27,14,0,14271,14530,389,1304,1176:1148:1007:970:1221:1218:389:389:1224:1223:1007:970:1164:1165,1304:1282:1004:964:1221:1224:389:389:1224:1223:1007:970:1164:1165
ex287,14,suffix_onehot_slot,2,86895,381,14,0,14271,21026,412,2028,1176:1148:1007:970:1221:1218:389:389:1224:1223:1007:970:1164:1165,2012:2028:1575:1440:1331:1827:412:446:1879:1931:1656:1549:1466:1474
ex287,14,suffix_onehot_slot,3,86895,2111,14,0,14271,25421,605,2149,1176:1148:1007:970:1221:1218:389:389:1224:1223:1007:970:1164:1165,2149:2147:1921:1752:1970:2103:625:605:2147:2147:1900:1784:2078:2093
ex288,15,raw,1,58137,15,15,0,23520,23561,256,1767,1758:1689:1746:1273:1750:1690:1736:256:1731:1689:1734:1273:1767:1690:1738,1758:1689:1746:1273:1759:1722:1736:256:1731:1689:1734:1273:1767:1690:1738
ex288,15,raw,2,58137,225,15,0,23520,24891,283,1855,1758:1689:1746:1273:1750:1690:1736:256:1731:1689:1734:1273:1767:1690:1738,1835:1830:1746:1696:1819:1855:1771:283:1837:1711:1753:1319:1834:1835:1767
ex288,15,raw,3,58137,1305,15,0,23520,25925,267,1850,1758:1689:1746:1273:1750:1690:1736:256:1731:1689:1734:1273:1767:1690:1738,1843:1848:1849:1748:1846:1845:1843:267:1841:1835:1828:1816:1847:1850:1819
