small_case,big_case,insert_bit,fixed_value,related_output_bits,relations
ex286,ex287,0,0,0,
ex286,ex287,0,1,0,
ex286,ex287,1,0,0,
ex286,ex287,1,1,0,
ex286,ex287,2,0,0,
ex286,ex287,2,1,0,
ex286,ex287,3,0,0,
ex286,ex287,3,1,0,
ex286,ex287,4,0,0,
ex286,ex287,4,1,0,
ex286,ex287,5,0,0,
ex286,ex287,5,1,0,
ex286,ex287,6,0,0,
ex286,ex287,6,1,0,
ex286,ex287,7,0,0,
ex286,ex287,7,1,0,
ex286,ex287,8,0,2,6->6:same|7->7:same
ex286,ex287,8,1,2,6->6:same|7->7:same
ex286,ex287,9,0,2,6->6:same|7->7:same
ex286,ex287,9,1,2,6->6:same|7->7:same
ex286,ex287,10,0,0,
ex286,ex287,10,1,0,
ex286,ex287,11,0,0,
ex286,ex287,11,1,0,
ex286,ex287,12,0,0,
ex286,ex287,12,1,0,
ex286,ex287,13,0,0,
ex286,ex287,13,1,0,
ex287,ex288,0,0,0,
ex287,ex288,0,1,0,
ex287,ex288,1,0,0,
ex287,ex288,1,1,0,
ex287,ex288,2,0,0,
ex287,ex288,2,1,0,
ex287,ex288,3,0,0,
ex287,ex288,3,1,0,
ex287,ex288,4,0,0,
ex287,ex288,4,1,0,
ex287,ex288,5,0,0,
ex287,ex288,5,1,0,
ex287,ex288,6,0,0,
ex287,ex288,6,1,0,
ex287,ex288,7,0,0,
ex287,ex288,7,1,0,
ex287,ex288,8,0,1,7->7:same
ex287,ex288,8,1,1,7->7:same
ex287,ex288,9,0,1,7->7:same
ex287,ex288,9,1,1,7->7:same
ex287,ex288,10,0,1,7->7:same
ex287,ex288,10,1,1,7->7:same
ex287,ex288,11,0,0,
ex287,ex288,11,1,0,
ex287,ex288,12,0,0,
ex287,ex288,12,1,0,
ex287,ex288,13,0,0,
ex287,ex288,13,1,0,
ex287,ex288,14,0,0,
ex287,ex288,14,1,0,
ex288,ex289,0,0,0,
ex288,ex289,0,1,0,
ex288,ex289,1,0,0,
ex288,ex289,1,1,0,
ex288,ex289,2,0,0,
ex288,ex289,2,1,0,
ex288,ex289,3,0,0,
ex288,ex289,3,1,0,
ex288,ex289,4,0,0,
ex288,ex289,4,1,0,
ex288,ex289,5,0,0,
ex288,ex289,5,1,0,
ex288,ex289,6,0,0,
ex288,ex289,6,1,0,
ex288,ex289,7,0,0,
ex288,ex289,7,1,0,
ex288,ex289,8,0,0,
ex288,ex289,8,1,0,
ex288,ex289,9,0,0,
ex288,ex289,9,1,0,
ex288,ex289,10,0,0,
ex288,ex289,10,1,0,
ex288,ex289,11,0,0,
ex288,ex289,11,1,0,
ex288,ex289,12,0,0,
ex288,ex289,12,1,0,
ex288,ex289,13,0,0,
ex288,ex289,13,1,0,
ex288,ex289,14,0,0,
ex288,ex289,14,1,0,
ex288,ex289,15,0,0,
ex288,ex289,15,1,0,
