case,metric,candidate,sample_matches,sample_total,full_matches,full_total,bit_matches,bit_total,input_perm,output_perm,notes
ex286,complement_perm_duality,base:id|aff12_2,42,184,140,8192,77928,106496,0:1:2:3:4:5:6:7:8:9:10:11:12,2:1:0:12:11:10:9:8:7:6:5:4:3,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1dff
ex286,complement_perm_duality,base:id|aff12_11,34,184,378,8192,70420,106496,0:1:2:3:4:5:6:7:8:9:10:11:12,11:10:9:8:7:6:5:4:3:2:1:0:12,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1fdf
ex286,complement_perm_duality,base:aff12_11|id,34,184,552,8192,58928,106496,11:10:9:8:7:6:5:4:3:2:1:0:12,0:1:2:3:4:5:6:7:8:9:10:11:12,full_first_mismatch=x=0x1;xp=0x17ff;got=0x1bff;pred=0x1fbf
ex286,complement_perm_duality,base:aff12_9|rot1,24,184,160,8192,68898,106496,9:8:7:6:5:4:3:2:1:0:12:11:10,1:2:3:4:5:6:7:8:9:10:11:12:0,full_first_mismatch=x=0x1;xp=0x1dff;got=0x1dff;pred=0x1f7f
ex286,complement_perm_duality,base:aff12_9|rot12,24,184,160,8192,68898,106496,9:8:7:6:5:4:3:2:1:0:12:11:10,12:0:1:2:3:4:5:6:7:8:9:10:11,full_first_mismatch=x=0x1;xp=0x1dff;got=0x1dff;pred=0x1fdf
ex286,complement_perm_duality,base:aff12_6|aff12_0,22,184,88,8192,57848,106496,6:5:4:3:2:1:0:12:11:10:9:8:7,0:12:11:10:9:8:7:6:5:4:3:2:1,full_first_mismatch=x=0x1;xp=0x1fbf;got=0x1fbf;pred=0x1f7f
ex286,complement_perm_duality,base:aff12_9|aff12_2,20,184,54,8192,64092,106496,9:8:7:6:5:4:3:2:1:0:12:11:10,2:1:0:12:11:10:9:8:7:6:5:4:3,full_first_mismatch=x=0x2;xp=0x1eff;got=0x1eff;pred=0x1bff
ex286,complement_perm_duality,base:aff12_9|aff12_0,20,184,166,8192,68620,106496,9:8:7:6:5:4:3:2:1:0:12:11:10,0:12:11:10:9:8:7:6:5:4:3:2:1,full_first_mismatch=x=0x1;xp=0x1dff;got=0x1dff;pred=0x1f7f
ex286,complement_perm_duality,base:aff12_5|aff12_11,20,184,44,8192,57528,106496,5:4:3:2:1:0:12:11:10:9:8:7:6,11:10:9:8:7:6:5:4:3:2:1:0:12,full_first_mismatch=x=0x1;xp=0x1fdf;got=0x1fef;pred=0x1fdf
ex286,complement_perm_duality,base:aff12_0|aff12_7,20,184,30,8192,58124,106496,0:12:11:10:9:8:7:6:5:4:3:2:1,7:6:5:4:3:2:1:0:12:11:10:9:8,full_first_mismatch=x=0x2;xp=0xfff;got=0x1fef;pred=0x1ffb
