case,family,feature_set,feature_count,key_count,matches,total_rows,exact,max_conflict,notes
ex286,vector,prefix_counts,8,1728,3763,8192,0,20,whole vector coordinate family; buckets=8; selectors=raw3:raw10:xor6_7
ex286,vector,prefix_mod3,8,1296,3187,8192,0,20,whole vector coordinate family; buckets=8; selectors=raw3:raw10:xor6_7
ex286,vector,prefix_mod3_selectors,11,3840,7168,8192,0,2,whole vector coordinate family; buckets=8; selectors=raw3:raw10:xor6_7
ex286,vector,prefix_mod4,8,1728,3763,8192,0,20,whole vector coordinate family; buckets=8; selectors=raw3:raw10:xor6_7
ex286,vector,prefix_parity,8,256,1019,8192,0,30,whole vector coordinate family; buckets=8; selectors=raw3:raw10:xor6_7
ex286,vector,prefix_parity_selectors,11,2048,5120,8192,0,2,whole vector coordinate family; buckets=8; selectors=raw3:raw10:xor6_7
ex286,vector,selector_tuple,3,8,78,8192,0,1020,whole vector coordinate family; buckets=8; selectors=raw3:raw10:xor6_7
ex286,vector,suffix_counts,8,1728,3763,8192,0,20,whole vector coordinate family; buckets=8; selectors=raw3:raw10:xor6_7
ex286,vector,suffix_mod3,8,1296,3187,8192,0,20,whole vector coordinate family; buckets=8; selectors=raw3:raw10:xor6_7
ex286,vector,suffix_parity,8,256,1019,8192,0,30,whole vector coordinate family; buckets=8; selectors=raw3:raw10:xor6_7
ex286,scalar_greedy,base,0,1,32,8192,0,8160,greedy compact moment/residue scalar selection; buckets=8; selectors=raw3:raw10:xor6_7
ex286,scalar_greedy,moment_quad,1,368,1171,8192,0,76,greedy compact moment/residue scalar selection; buckets=8; selectors=raw3:raw10:xor6_7
ex286,scalar_greedy,moment_quad:oddmask,2,1728,3763,8192,0,20,greedy compact moment/residue scalar selection; buckets=8; selectors=raw3:raw10:xor6_7
ex286,scalar_greedy,moment_quad:oddmask:selmix_m4,3,4032,7429,8192,0,2,greedy compact moment/residue scalar selection; buckets=8; selectors=raw3:raw10:xor6_7
ex286,scalar_greedy,moment_quad:oddmask:selmix_m4:sel2,4,4608,8192,8192,1,0,greedy compact moment/residue scalar selection; buckets=8; selectors=raw3:raw10:xor6_7
