case,metric,key,value,detail
ex286,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12;pout=1:2:3:4:5:6:7:8:9:10:11:12:0;imask=0xfff;omask=0x1ffe,397,bit_matches=72896/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0x1ffe
ex286,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12;pout=12:0:1:2:3:4:5:6:7:8:9:10:11;imask=0xfff;omask=0xfff,397,bit_matches=72896/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0xfff
ex286,affine_perm_duality,pin=0:1:2:3:5:4:7:6:8:9:10:11:12;pout=1:2:3:4:5:6:7:8:9:10:11:12:0;imask=0xfff;omask=0x1ffe,397,bit_matches=72896/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0x1ffe
ex286,affine_perm_duality,pin=0:1:2:3:5:4:7:6:8:9:10:11:12;pout=12:0:1:2:3:4:5:6:7:8:9:10:11;imask=0xfff;omask=0xfff,397,bit_matches=72896/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0xfff
ex286,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:0:1;pout=12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x1fff;omask=0x1fff,121,bit_matches=57446/106496;first=x=0x2;xp=0x1ff7;y=0x20;got=0x1bff;expected=0x1f7f
ex286,affine_perm_duality,pin=11:12:0:1:2:3:4:5:6:7:8:9:10;pout=12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x1fff;omask=0x1fff,121,bit_matches=57446/106496;first=x=0x1;xp=0x17ff;y=0x40;got=0x1bff;expected=0x1fbf
ex286,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:0:1;pout=0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x1fff;omask=0x1fff,119,bit_matches=57244/106496;first=x=0x2;xp=0x1ff7;y=0x20;got=0x1bff;expected=0x1fdf
ex286,affine_perm_duality,pin=11:12:0:1:2:3:4:5:6:7:8:9:10;pout=0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x1fff;omask=0x1fff,119,bit_matches=57244/106496;first=x=0x1;xp=0x17ff;y=0x40;got=0x1bff;expected=0x1fbf
ex286,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12;pout=1:2:3:4:5:6:7:8:9:10:11:12:0;imask=0x1fff;omask=0x1fff,91,bit_matches=65812/106496;first=x=0x1;xp=0x1ffe;y=0x40;got=0x1ffd;expected=0x1f7f
ex286,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12;pout=12:0:1:2:3:4:5:6:7:8:9:10:11;imask=0x1fff;omask=0x1fff,91,bit_matches=65812/106496;first=x=0x1;xp=0x1ffe;y=0x40;got=0x1ffd;expected=0x1fdf
ex286,affine_perm_duality,pin=0:1:2:3:5:4:7:6:8:9:10:11:12;pout=1:2:3:4:5:6:7:8:9:10:11:12:0;imask=0x1fff;omask=0x1fff,91,bit_matches=65812/106496;first=x=0x1;xp=0x1ffe;y=0x40;got=0x1ffd;expected=0x1f7f
ex286,affine_perm_duality,pin=0:1:2:3:5:4:7:6:8:9:10:11:12;pout=12:0:1:2:3:4:5:6:7:8:9:10:11;imask=0x1fff;omask=0x1fff,91,bit_matches=65812/106496;first=x=0x1;xp=0x1ffe;y=0x40;got=0x1ffd;expected=0x1fdf
ex286,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:0:1;pout=0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0xfff;omask=0x1ffe,90,bit_matches=56838/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0x1ffe
ex286,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:0:1;pout=12:0:1:2:3:4:5:6:7:8:9:10:11;imask=0x1fff;omask=0x1fff,88,bit_matches=57388/106496;first=x=0x1;xp=0x1ffb;y=0x40;got=0x1fbf;expected=0x1fdf
ex286,affine_perm_duality,pin=11:12:0:1:2:3:4:5:6:7:8:9:10;pout=1:2:3:4:5:6:7:8:9:10:11:12:0;imask=0x1fff;omask=0x1fff,88,bit_matches=57388/106496;first=x=0x1;xp=0x17ff;y=0x40;got=0x1bff;expected=0x1f7f
ex286,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:0:1;pout=1:2:3:4:5:6:7:8:9:10:11:12:0;imask=0xfff;omask=0x1ffe,83,bit_matches=57030/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0x1ffe
ex286,affine_perm_duality,pin=11:12:0:1:2:3:4:5:6:7:8:9:10;pout=1:2:3:4:5:6:7:8:9:10:11:12:0;imask=0xfff;omask=0x1ffe,79,bit_matches=56412/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0x1ffe
ex286,affine_perm_duality,pin=11:12:0:1:2:3:4:5:6:7:8:9:10;pout=12:0:1:2:3:4:5:6:7:8:9:10:11;imask=0xfff;omask=0xfff,79,bit_matches=56118/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0xfff
ex286,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:0:1;pout=12:0:1:2:3:4:5:6:7:8:9:10:11;imask=0xfff;omask=0xfff,75,bit_matches=56752/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0xfff
ex286,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:0:1;pout=1:2:3:4:5:6:7:8:9:10:11:12:0;imask=0x1fff;omask=0x1fff,72,bit_matches=57082/106496;first=x=0x1;xp=0x1ffb;y=0x40;got=0x1fbf;expected=0x1f7f
ex286,affine_perm_duality,pin=11:12:0:1:2:3:4:5:6:7:8:9:10;pout=12:0:1:2:3:4:5:6:7:8:9:10:11;imask=0x1fff;omask=0x1fff,72,bit_matches=57082/106496;first=x=0x1;xp=0x17ff;y=0x40;got=0x1bff;expected=0x1fdf
ex286,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12;pout=12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x1ffe;omask=0x1ffe,67,bit_matches=71208/106496;first=x=0x0;xp=0x1ffe;y=0x0;got=0x1ffd;expected=0x1ffe
ex286,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12;pout=12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x1ffe;omask=0xfff,67,bit_matches=71208/106496;first=x=0x0;xp=0x1ffe;y=0x0;got=0x1ffd;expected=0xfff
ex286,affine_perm_duality,pin=0:1:2:3:5:4:7:6:8:9:10:11:12;pout=12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x1ffe;omask=0x1ffe,67,bit_matches=71208/106496;first=x=0x0;xp=0x1ffe;y=0x0;got=0x1ffd;expected=0x1ffe
ex286,affine_perm_duality,pin=0:1:2:3:5:4:7:6:8:9:10:11:12;pout=12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x1ffe;omask=0xfff,67,bit_matches=71208/106496;first=x=0x0;xp=0x1ffe;y=0x0;got=0x1ffd;expected=0xfff
ex286,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:0:1;pout=1:2:3:4:5:6:7:8:9:10:11:12:0;imask=0x1ffe;omask=0x1ffe,67,bit_matches=56318/106496;first=x=0x0;xp=0x1ffe;y=0x0;got=0x1ffd;expected=0x1ffe
ex286,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:0:1;pout=12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0xfff;omask=0x1ffe,64,bit_matches=56532/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0x1ffe
ex286,affine_perm_duality,pin=6:7:8:9:10:11:12:0:1:2:3:4:5;pout=12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x1fff;omask=0x1fff,59,bit_matches=56844/106496;first=x=0x2;xp=0x1f7f;y=0x20;got=0x1fbf;expected=0x1f7f
ex286,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:0:1;pout=2:3:4:5:6:7:8:9:10:11:12:0:1;imask=0xfff;omask=0x1ffe,57,bit_matches=57576/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0x1ffe
ex286,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:0:1;pout=11:12:0:1:2:3:4:5:6:7:8:9:10;imask=0xfff;omask=0xfff,57,bit_matches=56532/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0xfff
ex286,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12;pout=12:0:1:2:3:4:5:6:7:8:9:10:11;imask=0xfff;omask=0x1ffe,55,bit_matches=69850/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0x1ffe
ex286,affine_perm_duality,pin=0:1:2:3:5:4:7:6:8:9:10:11:12;pout=12:0:1:2:3:4:5:6:7:8:9:10:11;imask=0xfff;omask=0x1ffe,55,bit_matches=69850/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0x1ffe
ex286,affine_perm_duality,pin=11:12:0:1:2:3:4:5:6:7:8:9:10;pout=0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0xfff;omask=0xfff,55,bit_matches=56600/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0xfff
