case,width,scheme,label_count,pair_table_entries,twohot_exact,twohot_total,twohot_accuracy,full_row_matches,full_total,full_bit_accuracy,first_mismatch,notes
ex286,13,home,8,32,52,78,0.666667,161,8192,0.538123,in=0x5:pred=0x140:exp=0x500,shared majority pair table plus XOR correction superposition
ex286,13,home_mod2,10,48,52,78,0.666667,132,8192,0.538856,in=0x5:pred=0x140:exp=0x500,shared majority pair table plus XOR correction superposition
ex286,13,home_mod3,13,78,78,78,1.000000,370,8192,0.547589,in=0x7:pred=0xd6c:exp=0x1c0,shared majority pair table plus XOR correction superposition
ex286,13,home_mod4,12,67,71,78,0.910256,261,8192,0.548697,in=0x5:pred=0x140:exp=0x500,shared majority pair table plus XOR correction superposition
ex286,13,home_mod5,12,67,71,78,0.910256,261,8192,0.548697,in=0x5:pred=0x140:exp=0x500,shared majority pair table plus XOR correction superposition
ex286,13,home_mod8,13,78,78,78,1.000000,370,8192,0.547589,in=0x7:pred=0xd6c:exp=0x1c0,shared majority pair table plus XOR correction superposition
ex286,13,home_occ,13,78,78,78,1.000000,370,8192,0.547589,in=0x7:pred=0xd6c:exp=0x1c0,shared majority pair table plus XOR correction superposition
ex286,13,home_sym,11,57,78,78,1.000000,370,8192,0.547589,in=0x7:pred=0xd6c:exp=0x1c0,shared majority pair table plus XOR correction superposition
ex286,13,identity_control,13,78,78,78,1.000000,370,8192,0.547589,in=0x7:pred=0xd6c:exp=0x1c0,shared majority pair table plus XOR correction superposition
ex286,13,raw_mod2,2,3,9,78,0.115385,52,8192,0.523099,in=0x3:pred=0x4b:exp=0xc,shared majority pair table plus XOR correction superposition
ex286,13,raw_mod3,3,6,10,78,0.128205,57,8192,0.527363,in=0x3:pred=0x63:exp=0xc,shared majority pair table plus XOR correction superposition
ex286,13,raw_mod4,4,10,18,78,0.230769,32,8192,0.513184,in=0x3:pred=0x63:exp=0xc,shared majority pair table plus XOR correction superposition
ex286,13,raw_mod5,5,15,21,78,0.269231,44,8192,0.513334,in=0x3:pred=0x66:exp=0xc,shared majority pair table plus XOR correction superposition
ex286,13,raw_mod8,8,33,35,78,0.448718,64,8192,0.525316,in=0x3:pred=0x6f:exp=0xc,shared majority pair table plus XOR correction superposition
ex286,13,sym_only,11,57,78,78,1.000000,370,8192,0.547589,in=0x7:pred=0xd6c:exp=0x1c0,shared majority pair table plus XOR correction superposition
ex287,14,home,7,25,52,91,0.571429,241,16384,0.554182,in=0x5:pred=0x140:exp=0x500,shared majority pair table plus XOR correction superposition
ex287,14,home_mod2,11,58,63,91,0.692308,157,16384,0.552011,in=0x5:pred=0x140:exp=0x500,shared majority pair table plus XOR correction superposition
ex287,14,home_mod3,11,58,61,91,0.670330,186,16384,0.551697,in=0x7:pred=0x2d4c:exp=0x1c0,shared majority pair table plus XOR correction superposition
ex287,14,home_mod4,13,79,82,91,0.901099,388,16384,0.558507,in=0x5:pred=0x140:exp=0x500,shared majority pair table plus XOR correction superposition
ex287,14,home_mod5,13,79,82,91,0.901099,388,16384,0.558507,in=0x5:pred=0x140:exp=0x500,shared majority pair table plus XOR correction superposition
ex287,14,home_mod8,14,91,91,91,1.000000,604,16384,0.560268,in=0x7:pred=0x2d4c:exp=0x1c0,shared majority pair table plus XOR correction superposition
ex287,14,home_occ,14,91,91,91,1.000000,604,16384,0.560268,in=0x7:pred=0x2d4c:exp=0x1c0,shared majority pair table plus XOR correction superposition
ex287,14,home_sym,11,58,91,91,1.000000,604,16384,0.560268,in=0x7:pred=0x2d4c:exp=0x1c0,shared majority pair table plus XOR correction superposition
ex287,14,identity_control,14,91,91,91,1.000000,604,16384,0.560268,in=0x7:pred=0x2d4c:exp=0x1c0,shared majority pair table plus XOR correction superposition
ex287,14,raw_mod2,2,3,10,91,0.109890,41,16384,0.513280,in=0x3:pred=0x2248:exp=0xc,shared majority pair table plus XOR correction superposition
ex287,14,raw_mod3,3,6,15,91,0.164835,49,16384,0.514535,in=0x3:pred=0x22c0:exp=0xc,shared majority pair table plus XOR correction superposition
ex287,14,raw_mod4,4,10,17,91,0.186813,48,16384,0.515206,in=0x3:pred=0x2043:exp=0xc,shared majority pair table plus XOR correction superposition
ex287,14,raw_mod5,5,15,20,91,0.219780,92,16384,0.517787,in=0x3:pred=0x2054:exp=0xc,shared majority pair table plus XOR correction superposition
ex287,14,raw_mod8,8,34,36,91,0.395604,84,16384,0.515860,in=0x3:pred=0x2043:exp=0xc,shared majority pair table plus XOR correction superposition
ex287,14,sym_only,11,58,91,91,1.000000,604,16384,0.560268,in=0x7:pred=0x2d4c:exp=0x1c0,shared majority pair table plus XOR correction superposition
ex288,15,home,9,40,72,105,0.685714,339,32768,0.538151,in=0x5:pred=0x4100:exp=0x500,shared majority pair table plus XOR correction superposition
ex288,15,home_mod2,13,80,82,105,0.780952,384,32768,0.534127,in=0x7:pred=0x6d0c:exp=0x1c0,shared majority pair table plus XOR correction superposition
ex288,15,home_mod3,14,92,94,105,0.895238,498,32768,0.536047,in=0x7:pred=0x6d0c:exp=0x1c0,shared majority pair table plus XOR correction superposition
