case,interval_start,interval_len,output_bits,notes
ex286,0,1,6,single contiguous input run
ex286,0,2,2:3,single contiguous input run
ex286,0,3,6:7:8,single contiguous input run
ex286,0,4,5:6:7:12,single contiguous input run
ex286,0,5,0:5:6:7:12,single contiguous input run
ex286,0,6,5:6:7:10:11:12,single contiguous input run
ex286,0,7,0:5:6:7:10:11:12,single contiguous input run
ex286,0,8,5:6:7:8:9:10:11:12,single contiguous input run
ex286,0,9,0:5:6:7:8:9:10:11:12,single contiguous input run
ex286,0,10,2:3:5:6:7:8:9:10:11:12,single contiguous input run
ex286,0,11,1:3:4:5:6:7:8:9:10:11:12,single contiguous input run
ex286,0,12,0:1:2:3:5:6:7:8:9:10:11:12,single contiguous input run
ex286,0,13,0:1:2:3:4:5:6:7:8:9:10:11:12,single contiguous input run
ex286,1,1,5,single contiguous input run
ex286,1,2,9:11,single contiguous input run
ex286,1,3,3:5:12,single contiguous input run
ex286,1,4,1:3:5:12,single contiguous input run
ex286,1,5,5:7:10:11:12,single contiguous input run
ex286,1,6,1:5:7:10:11:12,single contiguous input run
ex286,1,7,5:7:8:9:10:11:12,single contiguous input run
ex286,1,8,1:5:7:8:9:10:11:12,single contiguous input run
ex286,1,9,2:3:5:6:8:9:10:11:12,single contiguous input run
ex286,1,10,1:2:4:6:7:8:9:10:11:12,single contiguous input run
ex286,1,11,0:1:2:3:5:6:7:8:10:11:12,single contiguous input run
ex286,1,12,0:2:3:4:5:6:7:8:9:10:11:12,single contiguous input run
ex286,2,1,9,single contiguous input run
ex286,2,2,5:12,single contiguous input run
ex286,2,3,5:7:12,single contiguous input run
ex286,2,4,5:8:9:12,single contiguous input run
ex286,2,5,5:7:8:9:12,single contiguous input run
ex286,2,6,5:6:7:8:9:12,single contiguous input run
ex286,2,7,5:6:7:8:9:11:12,single contiguous input run
ex286,2,8,1:4:5:6:7:8:9:12,single contiguous input run
ex286,2,9,2:3:5:6:7:8:10:11:12,single contiguous input run
ex286,2,10,0:1:2:3:6:7:8:9:10:11,single contiguous input run
ex286,2,11,0:1:2:3:4:6:7:8:9:10:11,single contiguous input run
ex286,3,1,5,single contiguous input run
ex286,3,2,3:5,single contiguous input run
ex286,3,3,1:5:12,single contiguous input run
ex286,3,4,1:3:5:12,single contiguous input run
ex286,3,5,1:5:10:11:12,single contiguous input run
ex286,3,6,1:3:5:10:11:12,single contiguous input run
ex286,3,7,0:1:5:8:10:11:12,single contiguous input run
ex286,3,8,2:3:6:7:8:9:10:12,single contiguous input run
ex286,3,9,2:3:4:5:6:9:10:11:12,single contiguous input run
ex286,3,10,0:1:2:3:4:5:6:10:11:12,single contiguous input run
ex286,4,1,11,single contiguous input run
ex286,4,2,0:1,single contiguous input run
