case,input_coord,output_coord,degree,exact_bits,total_bits,total_terms,low_degree_terms,max_degree,bit_term_counts,bit_degrees,notes
ex286,raw,suffix_onehot,4,1,13,17665,2853,13,1785:1709:1855:1860:1674:337:1636:1641:821:1254:1874:13:1206,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,suffix_onehot,4,1,13,17665,2853,13,1785:1709:1855:1860:1674:337:1636:1641:821:1254:1874:13:1206,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,raw,suffix_onehot,3,1,13,17665,1145,13,1785:1709:1855:1860:1674:337:1636:1641:821:1254:1874:13:1206,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,suffix_onehot,3,1,13,17665,1145,13,1785:1709:1855:1860:1674:337:1636:1641:821:1254:1874:13:1206,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,raw,suffix_onehot,2,1,13,17665,365,13,1785:1709:1855:1860:1674:337:1636:1641:821:1254:1874:13:1206,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,suffix_onehot,2,1,13,17665,365,13,1785:1709:1855:1860:1674:337:1636:1641:821:1254:1874:13:1206,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,raw,suffix_onehot,1,1,13,17665,73,13,1785:1709:1855:1860:1674:337:1636:1641:821:1254:1874:13:1206,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,suffix_onehot,1,1,13,17665,73,13,1785:1709:1855:1860:1674:337:1636:1641:821:1254:1874:13:1206,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,raw,prefix_onehot,4,1,13,17701,2889,13,1211:1861:1643:1790:346:13:1650:1683:1873:818:1708:1245:1860,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,prefix_onehot,4,1,13,17701,2889,13,1211:1861:1643:1790:346:13:1650:1683:1873:818:1708:1245:1860,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,raw,prefix_onehot,3,1,13,17701,1181,13,1211:1861:1643:1790:346:13:1650:1683:1873:818:1708:1245:1860,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,prefix_onehot,3,1,13,17701,1181,13,1211:1861:1643:1790:346:13:1650:1683:1873:818:1708:1245:1860,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,raw,prefix_onehot,2,1,13,17701,401,13,1211:1861:1643:1790:346:13:1650:1683:1873:818:1708:1245:1860,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,prefix_onehot,2,1,13,17701,401,13,1211:1861:1643:1790:346:13:1650:1683:1873:818:1708:1245:1860,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,raw,prefix_onehot,1,1,13,17701,109,13,1211:1861:1643:1790:346:13:1650:1683:1873:818:1708:1245:1860,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,prefix_onehot,1,1,13,17701,109,13,1211:1861:1643:1790:346:13:1650:1683:1873:818:1708:1245:1860,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,raw,prefix_natural,4,1,13,19601,3019,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,raw,suffix_reverse,4,1,13,19601,3019,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,prefix_natural,4,1,13,19601,3019,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,suffix_reverse,4,1,13,19601,3019,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,raw,prefix_natural,3,1,13,19601,1215,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,raw,suffix_reverse,3,1,13,19601,1215,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,prefix_natural,3,1,13,19601,1215,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,suffix_reverse,3,1,13,19601,1215,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,raw,prefix_natural,2,1,13,19601,339,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,raw,suffix_reverse,2,1,13,19601,339,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,prefix_natural,2,1,13,19601,339,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,suffix_reverse,2,1,13,19601,339,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,raw,prefix_natural,1,1,13,19601,87,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,raw,suffix_reverse,1,1,13,19601,87,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,prefix_natural,1,1,13,19601,87,13,1647:1704:1897:1720:1319:1398:1389:1372:1685:1890:1943:1624:13,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
