case,feature_set,degree,lane,feature_count,monomial_count,exact,solution_terms,solution,notes
ex286,input_lane_parity,3,0,4,15,0,,,lane parity in feature monomial span
ex286,input_lane_parity,3,1,4,15,0,,,lane parity in feature monomial span
ex286,input_lane_parity,3,2,4,15,0,,,lane parity in feature monomial span
ex286,input_lane_parity,3,3,4,15,0,,,lane parity in feature monomial span
ex286,home_lane_parity,3,0,4,15,0,,,lane parity in feature monomial span
ex286,home_lane_parity,3,1,4,15,0,,,lane parity in feature monomial span
ex286,home_lane_parity,3,2,4,15,0,,,lane parity in feature monomial span
ex286,home_lane_parity,3,3,4,15,0,,,lane parity in feature monomial span
ex286,home_lane_count_bits,3,0,9,130,0,,,lane parity in feature monomial span
ex286,home_lane_count_bits,3,1,9,130,0,,,lane parity in feature monomial span
ex286,home_lane_count_bits,3,2,9,130,0,,,lane parity in feature monomial span
ex286,home_lane_count_bits,3,3,9,130,0,,,lane parity in feature monomial span
ex286,raw_pair_signals,3,0,15,576,0,,,lane parity in feature monomial span
ex286,raw_pair_signals,3,1,15,576,0,,,lane parity in feature monomial span
ex286,raw_pair_signals,3,2,15,576,0,,,lane parity in feature monomial span
ex286,raw_pair_signals,3,3,15,576,0,,,lane parity in feature monomial span
ex287,input_lane_parity,3,0,4,15,0,,,lane parity in feature monomial span
ex287,input_lane_parity,3,1,4,15,0,,,lane parity in feature monomial span
ex287,input_lane_parity,3,2,4,15,0,,,lane parity in feature monomial span
ex287,input_lane_parity,3,3,4,15,0,,,lane parity in feature monomial span
ex287,home_lane_parity,3,0,4,15,0,,,lane parity in feature monomial span
ex287,home_lane_parity,3,1,4,15,0,,,lane parity in feature monomial span
ex287,home_lane_parity,3,2,4,15,0,,,lane parity in feature monomial span
ex287,home_lane_parity,3,3,4,15,0,,,lane parity in feature monomial span
ex287,home_lane_count_bits,3,0,8,93,0,,,lane parity in feature monomial span
ex287,home_lane_count_bits,3,1,8,93,0,,,lane parity in feature monomial span
ex287,home_lane_count_bits,3,2,8,93,0,,,lane parity in feature monomial span
ex287,home_lane_count_bits,3,3,8,93,0,,,lane parity in feature monomial span
ex287,raw_pair_signals,3,0,17,834,0,,,lane parity in feature monomial span
ex287,raw_pair_signals,3,1,17,834,0,,,lane parity in feature monomial span
ex287,raw_pair_signals,3,2,17,834,0,,,lane parity in feature monomial span
ex287,raw_pair_signals,3,3,17,834,0,,,lane parity in feature monomial span
ex288,input_lane_parity,3,0,4,15,0,,,lane parity in feature monomial span
ex288,input_lane_parity,3,1,4,15,0,,,lane parity in feature monomial span
ex288,input_lane_parity,3,2,4,15,0,,,lane parity in feature monomial span
ex288,input_lane_parity,3,3,4,15,0,,,lane parity in feature monomial span
ex288,home_lane_parity,3,0,4,15,0,,,lane parity in feature monomial span
ex288,home_lane_parity,3,1,4,15,0,,,lane parity in feature monomial span
ex288,home_lane_parity,3,2,4,15,0,,,lane parity in feature monomial span
ex288,home_lane_parity,3,3,4,15,0,,,lane parity in feature monomial span
ex288,home_lane_count_bits,3,0,10,176,0,,,lane parity in feature monomial span
ex288,home_lane_count_bits,3,1,10,176,0,,,lane parity in feature monomial span
ex288,home_lane_count_bits,3,2,10,176,0,,,lane parity in feature monomial span
ex288,home_lane_count_bits,3,3,10,176,0,,,lane parity in feature monomial span
ex288,raw_pair_signals,3,0,18,988,0,,,lane parity in feature monomial span
ex288,raw_pair_signals,3,1,18,988,0,,,lane parity in feature monomial span
ex288,raw_pair_signals,3,2,18,988,0,,,lane parity in feature monomial span
ex288,raw_pair_signals,3,3,18,988,0,,,lane parity in feature monomial span
ex289,input_lane_parity,3,0,4,15,0,,,lane parity in feature monomial span
ex289,input_lane_parity,3,1,4,15,0,,,lane parity in feature monomial span
ex289,input_lane_parity,3,2,4,15,0,,,lane parity in feature monomial span
ex289,input_lane_parity,3,3,4,15,0,,,lane parity in feature monomial span
ex289,home_lane_parity,3,0,4,15,0,,,lane parity in feature monomial span
ex289,home_lane_parity,3,1,4,15,0,,,lane parity in feature monomial span
ex289,home_lane_parity,3,2,4,15,0,,,lane parity in feature monomial span
ex289,home_lane_parity,3,3,4,15,0,,,lane parity in feature monomial span
ex289,home_lane_count_bits,3,0,10,176,0,,,lane parity in feature monomial span
ex289,home_lane_count_bits,3,1,10,176,0,,,lane parity in feature monomial span
ex289,home_lane_count_bits,3,2,10,176,0,,,lane parity in feature monomial span
ex289,home_lane_count_bits,3,3,10,176,0,,,lane parity in feature monomial span
ex289,raw_pair_signals,3,0,20,1351,0,,,lane parity in feature monomial span
ex289,raw_pair_signals,3,1,20,1351,0,,,lane parity in feature monomial span
ex289,raw_pair_signals,3,2,20,1351,0,,,lane parity in feature monomial span
ex289,raw_pair_signals,3,3,20,1351,0,,,lane parity in feature monomial span
