case,input_width,output_width,target_degree,high_coeff_rows,high_coeff_rank,low_degree_nullity,basis_masks,basis_term_counts,basis_actual_degrees,nonzero_coeffs_by_degree,notes
ex286,13,13,1,3121,12,1,0x1fff,13,1,d1:13;d2:66;d3:183;d4:330;d5:472;d6:580;d7:607;d8:500;d9:261;d10:92;d11:24;d12:5;d13:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex286,13,13,2,3055,11,2,0x1555:0xaaa,25:32,2:2,d1:13;d2:66;d3:183;d4:330;d5:472;d6:580;d7:607;d8:500;d9:261;d10:92;d11:24;d12:5;d13:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex286,13,13,3,2872,10,3,0x1999:0xaaa:0xccc,51:32:38,3:2:3,d1:13;d2:66;d3:183;d4:330;d5:472;d6:580;d7:607;d8:500;d9:261;d10:92;d11:24;d12:5;d13:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex286,13,13,4,2542,9,4,0x1111:0x222:0x444:0x888,74:95:67:85,4:4:4:4,d1:13;d2:66;d3:183;d4:330;d5:472;d6:580;d7:607;d8:500;d9:261;d10:92;d11:24;d12:5;d13:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex287,14,14,1,5238,13,1,0x3fff,14,1,d1:14;d2:74;d3:208;d4:384;d5:582;d6:804;d7:923;d8:867;d9:680;d10:427;d11:208;d12:66;d13:14;d14:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex287,14,14,2,5164,12,2,0x1555:0x2aaa,29:39,2:2,d1:14;d2:74;d3:208;d4:384;d5:582;d6:804;d7:923;d8:867;d9:680;d10:427;d11:208;d12:66;d13:14;d14:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex287,14,14,3,4956,11,3,0x1999:0x2aaa:0xccc,61:39:38,3:2:3,d1:14;d2:74;d3:208;d4:384;d5:582;d6:804;d7:923;d8:867;d9:680;d10:427;d11:208;d12:66;d13:14;d14:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex287,14,14,4,4572,10,4,0x1111:0x2222:0x444:0x888,80:102:71:91,4:4:4:4,d1:14;d2:74;d3:208;d4:384;d5:582;d6:804;d7:923;d8:867;d9:680;d10:427;d11:208;d12:66;d13:14;d14:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex288,15,15,1,10477,14,1,0x7fff,15,1,d1:15;d2:83;d3:249;d4:511;d5:913;d6:1388;d7:1786;d8:1885;d9:1646;d10:1133;d11:580;d12:227;d13:64;d14:11;d15:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex288,15,15,2,10394,13,2,0x5555:0x2aaa,30:39,2:2,d1:15;d2:83;d3:249;d4:511;d5:913;d6:1388;d7:1786;d8:1885;d9:1646;d10:1133;d11:580;d12:227;d13:64;d14:11;d15:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex288,15,15,3,10145,12,3,0x1999:0x2aaa:0x4ccc,73:39:57,3:2:3,d1:15;d2:83;d3:249;d4:511;d5:913;d6:1388;d7:1786;d8:1885;d9:1646;d10:1133;d11:580;d12:227;d13:64;d14:11;d15:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex288,15,15,4,9634,11,4,0x1111:0x2222:0x4444:0x888,88:114:88:99,4:4:4:4,d1:15;d2:83;d3:249;d4:511;d5:913;d6:1388;d7:1786;d8:1885;d9:1646;d10:1133;d11:580;d12:227;d13:64;d14:11;d15:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex289,16,16,1,15141,15,1,0xffff,16,1,d1:16;d2:96;d3:284;d4:529;d5:874;d6:1478;d7:2101;d8:2534;d9:2533;d10:2149;d11:1410;d12:752;d13:296;d14:88;d15:16;d16:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex289,16,16,2,15045,14,2,0x5555:0xaaaa,34:46,2:2,d1:16;d2:96;d3:284;d4:529;d5:874;d6:1478;d7:2101;d8:2534;d9:2533;d10:2149;d11:1410;d12:752;d13:296;d14:88;d15:16;d16:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex289,16,16,3,14761,13,3,0x9999:0xaaaa:0xcccc,76:46:50,3:2:3,d1:16;d2:96;d3:284;d4:529;d5:874;d6:1478;d7:2101;d8:2534;d9:2533;d10:2149;d11:1410;d12:752;d13:296;d14:88;d15:16;d16:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex289,16,16,4,14232,12,4,0x1111:0x2222:0x4444:0x8888,108:154:98:132,4:4:4:4,d1:16;d2:96;d3:284;d4:529;d5:874;d6:1478;d7:2101;d8:2534;d9:2533;d10:2149;d11:1410;d12:752;d13:296;d14:88;d15:16;d16:1,dimension of output-linear coordinates with ANF degree <= target_degree
