case,target_degree,basis_mask,basis_popcount,terms,actual_degree,degree_hist,notes
ex286,5,0x1e1,5,165,5,d1:4;d2:26;d3:50;d4:52;d5:33,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,5,0x222,3,95,4,d1:6;d2:32;d3:40;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,5,0x444,3,67,4,d1:2;d2:8;d3:40;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,5,0x888,3,85,4,d1:4;d2:24;d3:40;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,5,0x10f0,5,133,5,d1:3;d2:18;d3:32;d4:47;d5:33,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,6,0x141,3,221,6,d1:2;d2:13;d3:71;d4:64;d5:40;d6:31,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,6,0x282,3,209,6,d1:4;d2:37;d3:67;d4:37;d5:33;d6:31,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,6,0x444,3,67,4,d1:2;d2:8;d3:40;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,6,0x888,3,85,4,d1:4;d2:24;d3:40;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,6,0x1050,3,185,6,d1:1;d2:9;d3:49;d4:55;d5:40;d6:31,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,6,0xa0,2,140,6,d1:2;d2:17;d3:33;d4:24;d5:33;d6:31,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,7,0x181,3,333,7,d1:1;d2:20;d3:94;d4:79;d5:67;d6:64;d7:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,7,0x282,3,209,6,d1:4;d2:37;d3:67;d4:37;d5:33;d6:31,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,7,0x484,3,195,7,d1:1;d2:19;d3:57;d4:42;d5:31;d6:37;d7:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,7,0x888,3,85,4,d1:4;d2:24;d3:40;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,7,0x1090,3,301,7,d2:14;d3:74;d4:74;d5:67;d6:64;d7:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,7,0xa0,2,140,6,d1:2;d2:17;d3:33;d4:24;d5:33;d6:31,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,7,0xc0,2,148,7,d1:1;d2:11;d3:31;d4:29;d5:31;d6:37;d7:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,8,0x101,2,378,8,d1:1;d2:12;d3:54;d4:100;d5:87;d6:64;d7:52;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,8,0x202,2,382,8,d1:4;d2:31;d3:73;d4:94;d5:71;d6:57;d7:44;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,8,0x404,2,326,8,d1:1;d2:13;d3:45;d4:79;d5:69;d6:59;d7:52;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,8,0x808,2,330,8,d1:4;d2:28;d3:64;d4:78;d5:56;d6:48;d7:44;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,8,0x1010,2,346,8,d2:6;d3:38;d4:91;d5:87;d6:64;d7:52;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,8,0x20,1,337,8,d1:2;d2:15;d3:55;d4:85;d5:71;d6:57;d7:44;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,8,0x40,1,287,8,d1:1;d2:5;d3:23;d4:70;d5:69;d6:59;d7:52;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,8,0x80,1,281,8,d2:8;d3:44;d4:73;d5:56;d6:48;d7:44;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,5,0x21e1,6,168,5,d1:4;d2:31;d3:55;d4:48;d5:30,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,5,0x2222,4,102,4,d1:7;d2:36;d3:42;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,5,0x444,3,71,4,d1:1;d2:11;d3:42;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,5,0x888,3,91,4,d1:5;d2:27;d3:42;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,5,0x30f0,6,124,5,d1:5;d2:25;d3:29;d4:35;d5:30,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,6,0x141,3,247,6,d1:1;d2:14;d3:65;d4:75;d5:55;d6:37,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,6,0x282,3,283,6,d1:4;d2:37;d3:80;d4:62;d5:63;d6:37,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,6,0x444,3,71,4,d1:1;d2:11;d3:42;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,6,0x888,3,91,4,d1:5;d2:27;d3:42;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,6,0x1050,3,217,6,d1:2;d2:8;d3:47;d4:68;d5:55;d6:37,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,6,0x20a0,3,243,6,d1:3;d2:23;d3:58;d4:59;d5:63;d6:37,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,7,0x181,3,363,7,d2:19;d3:92;d4:92;d5:82;d6:70;d7:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,7,0x282,3,283,6,d1:4;d2:37;d3:80;d4:62;d5:63;d6:37,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,7,0x484,3,205,7,d2:22;d3:65;d4:42;d5:31;d6:37;d7:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,7,0x888,3,91,4,d1:5;d2:27;d3:42;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,7,0x1090,3,339,7,d1:1;d2:15;d3:74;d4:89;d5:82;d6:70;d7:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,7,0x20a0,3,243,6,d1:3;d2:23;d3:58;d4:59;d5:63;d6:37,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,7,0xc0,2,148,7,d1:1;d2:11;d3:31;d4:29;d5:31;d6:37;d7:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,8,0x101,2,416,8,d2:11;d3:56;d4:117;d5:102;d6:70;d7:52;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,8,0x202,2,454,8,d1:4;d2:29;d3:88;d4:117;d5:101;d6:63;d7:44;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,8,0x404,2,330,8,d2:14;d3:47;d4:81;d5:69;d6:59;d7:52;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,8,0x808,2,338,8,d1:5;d2:29;d3:68;d4:80;d5:56;d6:48;d7:44;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,8,0x1010,2,394,8,d1:1;d2:9;d3:40;d4:112;d5:102;d6:70;d7:52;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,8,0x2020,2,424,8,d1:3;d2:21;d3:72;d4:112;d5:101;d6:63;d7:44;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,8,0x40,1,287,8,d1:1;d2:5;d3:23;d4:70;d5:69;d6:59;d7:52;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,8,0x80,1,281,8,d2:8;d3:44;d4:73;d5:56;d6:48;d7:44;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
