case,target,family,name,matches,total_rows,exact,key_count,notes
ex286,pair_count_0,single,p3:clip2,4037,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,single,p3:v,4037,8192,0,4,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,single,p3:mod3,4017,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,single,p5:clip2,4009,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,single,p4:clip2,4009,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,single,p5:v,4009,8192,0,4,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,single,p4:v,4009,8192,0,4,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,single,p6:v,4002,8192,0,4,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,single,mx3_6:v,4001,8192,0,4,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,single,sc1_3:v,3999,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,single,sc1_3:mod3,3999,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,single,sc1_3:clip2,3999,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,pair,p3:p5,4108,8192,0,9,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,pair,p3:mx3_6,4107,8192,0,16,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,pair,p5:mx3_6,4105,8192,0,16,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,pair,mx3_6:p5,4105,8192,0,16,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,pair,p4:mx3_6,4093,8192,0,16,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,pair,mx3_6:p4,4093,8192,0,16,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,pair,p4:sc3_7,4083,8192,0,12,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,pair,p3:sc3_7,4083,8192,0,12,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,pair,p3:mx3_7,4083,8192,0,12,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,pair,mx3_6:mx1_3,4080,8192,0,10,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,pair,mx3_6:sc1_3,4080,8192,0,11,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,pair,sc3_7:p5,4080,8192,0,12,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,single,p2:clip2,4303,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,single,p2:v,4303,8192,0,4,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,single,sc1_2:v,4272,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,single,sc1_2:mod3,4272,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,single,sc1_2:clip2,4272,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,single,mx1_2:v,4272,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,single,mx1_2:mod3,4272,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,single,mx1_2:clip2,4272,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,single,sc0_2:v,4254,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,single,sc0_2:mod3,4254,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,single,sc0_2:clip2,4254,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,single,mx0_2:v,4254,8192,0,3,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,pair,sc1_2:p3,4362,8192,0,9,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,pair,mx1_2:p3,4362,8192,0,9,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,pair,sc1_2:p4,4353,8192,0,9,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,pair,mx1_2:p4,4353,8192,0,9,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,pair,p2:mx2_7,4351,8192,0,11,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,pair,p2:p3,4335,8192,0,9,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,pair,p2:mx1_2,4328,8192,0,7,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,pair,p2:mx0_2,4328,8192,0,7,buckets=8; selectors=raw3:raw10:xor6_7
