case,metric,value,detail
ex286,popcount_preserve,8192,total=8192
ex287,popcount_preserve,16384,total=16384
ex288,popcount_preserve,32768,total=32768
ex289,popcount_preserve,65536,total=65536
ex286,slot_arithmetic_best,62,arith:62;xor:62;or:62;rot_arith_0:62;rot_xor_0:62;total=8192
ex287,slot_arithmetic_best,58,arith:58;xor:58;or:58;rot_arith_0:58;rot_xor_0:58;total=16384
ex288,slot_arithmetic_best,104,arith:104;xor:104;or:104;rot_arith_0:104;rot_xor_0:104;total=32768
ex289,slot_arithmetic_best,145,arith:145;xor:145;or:145;rot_arith_0:145;rot_xor_0:145;total=65536
ex286,iterate_cycle_lengths,"1:82;2:15;3:6;4:4;5:3;8:1;12:1;22:1","tail_components=0:28;1:23;2:26;3:13;4:9;5:4;6:4;7:2;16:2;22:1;30:1"
ex287,iterate_cycle_lengths,"1:107;2:29;3:18;4:4;5:2;6:4;7:2;9:2;10:1;11:2;13:1;15:1;17:1","tail_components=0:29;1:63;2:31;3:19;4:7;5:5;6:4;7:4;8:4;10:2;12:3;16:1;19:1;33:1"
ex288,iterate_cycle_lengths,"1:138;2:46;3:22;4:8;5:3;6:2;7:1;8:1;10:1;11:1;12:2;16:1;19:1;20:2;22:1","tail_components=0:49;1:70;2:37;3:23;4:7;5:10;6:5;7:5;8:3;9:3;10:3;11:1;12:2;13:3;14:1;15:3;16:1;17:1;18:1;25:1"
ex289,iterate_cycle_lengths,"1:162;2:119;3:29;4:23;5:6;6:13;7:6;8:9;9:2;10:2;11:2;12:2;13:1;32:1;51:1","tail_components=0:49;1:196;2:68;3:18;4:13;5:9;6:3;7:3;8:1;9:1;10:3;11:2;12:1;13:1;14:1;15:1;16:1;17:2;18:1;19:1"
ex286,prefix_threshold_bdd_nodes,10682,direct_output_nodes=2291;classes=16;outer_bits=0:12:1:11
ex287,prefix_threshold_bdd_nodes,17602,direct_output_nodes=3872;classes=32;outer_bits=0:13:1:12:2
ex288,prefix_threshold_bdd_nodes,37859,direct_output_nodes=8733;classes=64;outer_bits=0:14:1:13:2:12
ex289,npn_input_transform_coverage,3678,total=65536;transforms=384
ex286,abc_read_truth_sanity,and11289_lev27;and8697_lev22,not_reference_scale_after_strash_rewrite_refactor_balance
