case,degree,layers,exact_bit_layers,total_bit_layers,exact_fraction,all_bits_exact_layers,bits_exact_all_layers,max_feature_rank,max_layer_rows,feature_count
ex286,1,14,52,182,0.285714,4,,13,1716,14
ex286,2,14,78,182,0.428571,6,,78,1716,92
ex286,3,14,104,182,0.571429,8,,286,1716,378
ex287,1,15,56,210,0.266667,4,,14,3432,15
ex287,2,15,84,210,0.400000,6,,91,3432,106
ex287,3,15,112,210,0.533333,8,,364,3432,470
ex288,1,16,60,240,0.250000,4,,15,6435,16
ex288,2,16,90,240,0.375000,6,,105,6435,121
ex288,3,16,120,240,0.500000,8,,455,6435,576
ex289,1,17,64,272,0.235294,4,,16,12870,17
ex289,2,17,96,272,0.352941,6,,120,12870,137
ex289,3,17,128,272,0.470588,8,,560,12870,697
