case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex286,ex286_interleave_zero_abc_d20,unknown_symmetry_canonical_bdd,abc_d20,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_zero.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex286/aigs/ex286_interleave_zero_abc_d20.aig,1,1,1,1436,18,25848,2376,10.878788,0,0,synthflow_exact,Yosys abc delay target 20,0.626,Yosys abc delay target 20,1,25848,0,
ex286,ex286_interleave_zero_abc_d21,unknown_symmetry_canonical_bdd,abc_d21,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_zero.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex286/aigs/ex286_interleave_zero_abc_d21.aig,1,1,1,1436,18,25848,2376,10.878788,0,0,synthflow_exact,Yosys abc delay target 21,0.624,Yosys abc delay target 21,1,25848,0,
ex286,ex286_interleave_zero_abc_d22,unknown_symmetry_canonical_bdd,abc_d22,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_zero.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex286/aigs/ex286_interleave_zero_abc_d22.aig,1,1,1,1436,18,25848,2376,10.878788,0,0,synthflow_exact,Yosys abc delay target 22,0.626,Yosys abc delay target 22,1,25848,0,
ex286,ex286_interleave_zero_abc_fast,unknown_symmetry_canonical_bdd,abc_fast,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_zero.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex286/aigs/ex286_interleave_zero_abc_fast.aig,1,1,1,1867,24,44808,2376,18.858586,0,0,synthflow_exact,Yosys abc fast script,0.569,Yosys abc fast script,1,44808,0,
ex286,ex286_interleave_zero_abc_g_and_mux,unknown_symmetry_canonical_bdd,abc_g_and_mux,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_zero.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex286/aigs/ex286_interleave_zero_abc_g_and_mux.aig,1,1,1,1485,19,28215,2376,11.875000,0,0,synthflow_exact,"Yosys abc gate set AND,MUX",0.704,"Yosys abc gate set AND,MUX",1,28215,0,
ex286,ex286_interleave_zero_abc_g_simple,unknown_symmetry_canonical_bdd,abc_g_simple,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_zero.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex286/aigs/ex286_interleave_zero_abc_g_simple.aig,1,1,1,1481,18,26658,2376,11.219697,0,0,synthflow_exact,Yosys abc gate set simple,0.689,Yosys abc gate set simple,1,26658,0,
ex286,ex286_interleave_zero_synth_preset_noabc,unknown_symmetry_canonical_bdd,synth_preset_noabc,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_zero.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex286/aigs/ex286_interleave_zero_synth_preset_noabc.aig,1,1,1,1886,24,45264,2376,19.050505,0,0,synthflow_exact,Yosys synth preset without abc,0.627,Yosys synth preset without abc,1,45264,0,
ex287,ex287_interleave_f10_abc_d20,unknown_symmetry_canonical_bdd,abc_d20,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_interleave_f10.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex287/aigs/ex287_interleave_f10_abc_d20.aig,1,1,1,1768,19,33592,5782,5.809754,0,0,synthflow_exact,Yosys abc delay target 20,0.854,Yosys abc delay target 20,1,33592,0,
ex287,ex287_interleave_f10_abc_d21,unknown_symmetry_canonical_bdd,abc_d21,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_interleave_f10.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex287/aigs/ex287_interleave_f10_abc_d21.aig,1,1,1,1768,19,33592,5782,5.809754,0,0,synthflow_exact,Yosys abc delay target 21,0.869,Yosys abc delay target 21,1,33592,0,
ex287,ex287_interleave_f10_abc_d22,unknown_symmetry_canonical_bdd,abc_d22,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_interleave_f10.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex287/aigs/ex287_interleave_f10_abc_d22.aig,1,1,1,1768,19,33592,5782,5.809754,0,0,synthflow_exact,Yosys abc delay target 22,0.883,Yosys abc delay target 22,1,33592,0,
ex287,ex287_interleave_f10_abc_fast,unknown_symmetry_canonical_bdd,abc_fast,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_interleave_f10.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex287/aigs/ex287_interleave_f10_abc_fast.aig,1,1,1,2385,26,62010,5782,10.724663,0,0,synthflow_exact,Yosys abc fast script,1.068,Yosys abc fast script,1,62010,0,
ex287,ex287_interleave_f10_abc_g_and_mux,unknown_symmetry_canonical_bdd,abc_g_and_mux,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_interleave_f10.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex287/aigs/ex287_interleave_f10_abc_g_and_mux.aig,1,1,1,1816,21,38136,5782,6.595642,0,0,synthflow_exact,"Yosys abc gate set AND,MUX",0.897,"Yosys abc gate set AND,MUX",1,38136,0,
ex287,ex287_interleave_f10_abc_g_simple,unknown_symmetry_canonical_bdd,abc_g_simple,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_interleave_f10.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex287/aigs/ex287_interleave_f10_abc_g_simple.aig,1,1,1,1800,21,37800,5782,6.537530,0,0,synthflow_exact,Yosys abc gate set simple,0.919,Yosys abc gate set simple,1,37800,0,
ex287,ex287_interleave_f10_synth_preset_noabc,unknown_symmetry_canonical_bdd,synth_preset_noabc,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_interleave_f10.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex287/aigs/ex287_interleave_f10_synth_preset_noabc.aig,1,1,1,2385,26,62010,5782,10.724663,0,0,synthflow_exact,Yosys synth preset without abc,0.911,Yosys synth preset without abc,1,62010,0,
ex288,ex288_interleave_f10_abc_d20,unknown_symmetry_canonical_bdd,abc_d20,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_interleave_f10.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex288/aigs/ex288_interleave_f10_abc_d20.aig,1,1,1,1944,20,38880,16394,2.371599,0,0,synthflow_exact,Yosys abc delay target 20,1.271,Yosys abc delay target 20,1,38880,0,
ex288,ex288_interleave_f10_abc_d21,unknown_symmetry_canonical_bdd,abc_d21,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_interleave_f10.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex288/aigs/ex288_interleave_f10_abc_d21.aig,1,1,1,1944,20,38880,16394,2.371599,0,0,synthflow_exact,Yosys abc delay target 21,1.138,Yosys abc delay target 21,1,38880,0,
ex288,ex288_interleave_f10_abc_d22,unknown_symmetry_canonical_bdd,abc_d22,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_interleave_f10.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex288/aigs/ex288_interleave_f10_abc_d22.aig,1,1,1,1944,20,38880,16394,2.371599,0,0,synthflow_exact,Yosys abc delay target 22,1.169,Yosys abc delay target 22,1,38880,0,
ex288,ex288_interleave_f10_abc_fast,unknown_symmetry_canonical_bdd,abc_fast,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_interleave_f10.v,student/work/ex286_ex289_frontend_symmetry_bdd_synthflow2_20260608_1456/ex288/aigs/ex288_interleave_f10_abc_fast.aig,1,1,1,2622,27,70794,16394,4.318287,0,0,synthflow_exact,Yosys abc fast script,1.133,Yosys abc fast script,1,70794,0,
