case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex286,ex286_unknown_symcof_interleave_f10_k2,unknown_symmetry_cofactor_classonehot,interleave_f10_k2,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f10_k2.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f10_k2.aig,1,1,1,1411,18,25398,1.480,"pairs=4:5,6:7; order=interleave; policy=f10; outer_bits=0:12; inner_bits=1:2:3:4:5:6:7:8:9:10:11; classes=4; group_nodes=418:405:422:419; total_group_nodes=1664; hash=6c149c011222",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_k3,unknown_symmetry_cofactor_classonehot,interleave_f10_k3,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f10_k3.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f10_k3.aig,1,1,1,1441,17,24497,1.440,"pairs=4:5,6:7; order=interleave; policy=f10; outer_bits=0:12:1; inner_bits=2:3:4:5:6:7:8:9:10:11; classes=8; group_nodes=250:258:242:258:264:244:268:260; total_group_nodes=2044; hash=94535030b86b",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_k4,unknown_symmetry_cofactor_classonehot,interleave_f10_k4,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f10_k4.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f10_k4.aig,1,1,1,1448,17,24616,1.447,"pairs=4:5,6:7; order=interleave; policy=f10; outer_bits=0:12:1:11; inner_bits=2:3:4:5:6:7:8:9:10; classes=16; group_nodes=144:160:156:165:165:145:172:170:157:150:130:149:157:154:155:143; total_group_nodes=2472; hash=c9c47d8c9e58",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_bits_4_5_6_7,unknown_symmetry_cofactor_classonehot,interleave_f10_bits_4_5_6_7,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f10_bits_4_5_6_7.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f10_bits_4_5_6_7.aig,1,1,1,4455,19,84645,2.318,"pairs=4:5,6:7; order=interleave; policy=f10; outer_bits=4:5:6:7; inner_bits=0:1:2:3:8:9:10:11:12; classes=8; group_nodes=462:477:450:448:435:456:476:464; total_group_nodes=3668; hash=b57ec018eb3b",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_bits_4_6_5_7,unknown_symmetry_cofactor_classonehot,interleave_f10_bits_4_6_5_7,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f10_bits_4_6_5_7.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f10_bits_4_6_5_7.aig,1,1,1,4471,19,84949,2.288,"pairs=4:5,6:7; order=interleave; policy=f10; outer_bits=4:6:5:7; inner_bits=0:1:2:3:8:9:10:11:12; classes=8; group_nodes=462:477:448:435:450:456:476:464; total_group_nodes=3668; hash=9be8c2fdc927",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_bits_4_6_0_12,unknown_symmetry_cofactor_classonehot,interleave_f10_bits_4_6_0_12,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f10_bits_4_6_0_12.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f10_bits_4_6_0_12.aig,1,1,1,4231,18,76158,2.557,"pairs=4:5,6:7; order=interleave; policy=f10; outer_bits=4:6:0:12; inner_bits=1:2:3:5:7:8:9:10:11; classes=16; group_nodes=275:327:323:282:268:317:319:286:296:329:324:272:285:326:326:273; total_group_nodes=4828; hash=6ec1938e677c",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_bits_5_7_0_12,unknown_symmetry_cofactor_classonehot,interleave_f10_bits_5_7_0_12,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f10_bits_5_7_0_12.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f10_bits_5_7_0_12.aig,1,1,1,4216,18,75888,2.495,"pairs=4:5,6:7; order=interleave; policy=f10; outer_bits=5:7:0:12; inner_bits=1:2:3:4:6:8:9:10:11; classes=16; group_nodes=275:331:327:282:268:321:323:286:296:333:328:272:285:330:330:273; total_group_nodes=4860; hash=8b45c5257709",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_bits_4_5_6_7_0,unknown_symmetry_cofactor_classonehot,interleave_f10_bits_4_5_6_7_0,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f10_bits_4_5_6_7_0.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f10_bits_4_5_6_7_0.aig,1,1,1,4273,18,76914,2.333,"pairs=4:5,6:7; order=interleave; policy=f10; outer_bits=4:5:6:7:0; inner_bits=1:2:3:8:9:10:11:12; classes=16; group_nodes=263:282:266:253:248:276:273:280:279:276:259:266:248:255:280:266; total_group_nodes=4270; hash=28f36c3c0cbb",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_bits_4_5_6_7_12,unknown_symmetry_cofactor_classonehot,interleave_f10_bits_4_5_6_7_12,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f10_bits_4_5_6_7_12.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f10_bits_4_5_6_7_12.aig,1,1,1,4346,18,78228,2.526,"pairs=4:5,6:7; order=interleave; policy=f10; outer_bits=4:5:6:7:12; inner_bits=0:1:2:3:8:9:10:11; classes=16; group_nodes=336:349:326:325:319:336:352:348:344:352:318:324:318:322:344:334; total_group_nodes=5347; hash=55d2fe0ee297",unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f10_bits_4_5_6_7_0_12,unknown_symmetry_cofactor_classonehot,interleave_f10_bits_4_5_6_7_0_12,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/verilog/ex286_unknown_symcof_interleave_f10_bits_4_5_6_7_0_12.v,student/work/ex286_frontend_multipair_symcof_bitsets_20260609_0628/ex286/aigs/ex286_unknown_symcof_interleave_f10_bits_4_5_6_7_0_12.aig,1,1,1,4385,17,74545,2.738,"pairs=4:5,6:7; order=interleave; policy=f10; outer_bits=4:5:6:7:0:12; inner_bits=1:2:3:8:9:10:11; classes=32; group_nodes=198:213:201:186:184:213:208:216:211:208:194:197:184:190:213:202:201:215:197:190:184:200:206:211:213:211:190:200:186:184:212:198; total_group_nodes=6416; hash=0699db4c0be3",unknown symmetry cofactor class-onehot Verilog seed
