case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex288,ex288_unknown_bit_hybrid_primary_0,unknown_bit_hybrid,primary_0,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/verilog/ex288_unknown_bit_hybrid_primary_0.v,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/aigs/ex288_unknown_bit_hybrid_primary_0.aig,1,1,1,1920,18,34560,3.824,primary_bits=0; secondary_bits=1:2:3:4:5:6:7:8:9:10:11:12:13:14; hash=240b482a4967,bit-hybrid of two verified exact Verilog sources
ex288,ex288_unknown_bit_hybrid_primary_1,unknown_bit_hybrid,primary_1,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/verilog/ex288_unknown_bit_hybrid_primary_1.v,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/aigs/ex288_unknown_bit_hybrid_primary_1.aig,1,1,1,1969,18,35442,3.399,primary_bits=1; secondary_bits=0:2:3:4:5:6:7:8:9:10:11:12:13:14; hash=923f7367467a,bit-hybrid of two verified exact Verilog sources
ex288,ex288_unknown_bit_hybrid_primary_2,unknown_bit_hybrid,primary_2,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/verilog/ex288_unknown_bit_hybrid_primary_2.v,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/aigs/ex288_unknown_bit_hybrid_primary_2.aig,1,1,1,1976,18,35568,3.845,primary_bits=2; secondary_bits=0:1:3:4:5:6:7:8:9:10:11:12:13:14; hash=d23b5c9c33f6,bit-hybrid of two verified exact Verilog sources
ex288,ex288_unknown_bit_hybrid_primary_3,unknown_bit_hybrid,primary_3,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/verilog/ex288_unknown_bit_hybrid_primary_3.v,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/aigs/ex288_unknown_bit_hybrid_primary_3.aig,1,1,1,1967,18,35406,3.756,primary_bits=3; secondary_bits=0:1:2:4:5:6:7:8:9:10:11:12:13:14; hash=2607506c9737,bit-hybrid of two verified exact Verilog sources
ex288,ex288_unknown_bit_hybrid_primary_4,unknown_bit_hybrid,primary_4,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/verilog/ex288_unknown_bit_hybrid_primary_4.v,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/aigs/ex288_unknown_bit_hybrid_primary_4.aig,1,1,1,1942,18,34956,3.717,primary_bits=4; secondary_bits=0:1:2:3:5:6:7:8:9:10:11:12:13:14; hash=4939c338ce07,bit-hybrid of two verified exact Verilog sources
ex288,ex288_unknown_bit_hybrid_primary_5,unknown_bit_hybrid,primary_5,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/verilog/ex288_unknown_bit_hybrid_primary_5.v,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/aigs/ex288_unknown_bit_hybrid_primary_5.aig,1,1,1,1994,18,35892,3.691,primary_bits=5; secondary_bits=0:1:2:3:4:6:7:8:9:10:11:12:13:14; hash=c362d49ce09f,bit-hybrid of two verified exact Verilog sources
ex288,ex288_unknown_bit_hybrid_primary_6,unknown_bit_hybrid,primary_6,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/verilog/ex288_unknown_bit_hybrid_primary_6.v,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/aigs/ex288_unknown_bit_hybrid_primary_6.aig,1,1,1,1952,18,35136,4.578,primary_bits=6; secondary_bits=0:1:2:3:4:5:7:8:9:10:11:12:13:14; hash=a19bb8e08260,bit-hybrid of two verified exact Verilog sources
ex288,ex288_unknown_bit_hybrid_primary_7,unknown_bit_hybrid,primary_7,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/verilog/ex288_unknown_bit_hybrid_primary_7.v,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/aigs/ex288_unknown_bit_hybrid_primary_7.aig,1,1,1,1918,18,34524,4.460,primary_bits=7; secondary_bits=0:1:2:3:4:5:6:8:9:10:11:12:13:14; hash=5ea402f10e25,bit-hybrid of two verified exact Verilog sources
ex288,ex288_unknown_bit_hybrid_primary_8,unknown_bit_hybrid,primary_8,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/verilog/ex288_unknown_bit_hybrid_primary_8.v,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/aigs/ex288_unknown_bit_hybrid_primary_8.aig,1,1,1,1932,18,34776,4.891,primary_bits=8; secondary_bits=0:1:2:3:4:5:6:7:9:10:11:12:13:14; hash=093f7fd5ba7e,bit-hybrid of two verified exact Verilog sources
ex288,ex288_unknown_bit_hybrid_primary_9,unknown_bit_hybrid,primary_9,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/verilog/ex288_unknown_bit_hybrid_primary_9.v,student/work/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/ex288/aigs/ex288_unknown_bit_hybrid_primary_9.aig,1,1,1,1972,18,35496,3.450,primary_bits=9; secondary_bits=0:1:2:3:4:5:6:7:8:10:11:12:13:14; hash=99b2f249550c,bit-hybrid of two verified exact Verilog sources
