case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k4_onehot_group,unknown_symmetry_cofactor_classonehot,bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k4_onehot_group,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/verilog/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k4_onehot_group.v,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/aigs/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k4_onehot_group.aig,1,1,1,25866,23,594918,19.657,"pairs=4:5,6:7,8:9; order=bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=7:6:8:5; inner_bits=0:1:2:3:4:9:10:11:12:13:14; classes=12; group_nodes=1488:1428:1506:2784:2659:2817:1497:1491:1496:2790:2782:2779; total_group_nodes=25517; anf_bits=; popcount_repair_bits=; hash=3bbee616992d",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k4_case_group,unknown_symmetry_cofactor_classonehot,bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k4_case_group,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/verilog/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k4_case_group.v,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/aigs/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k4_case_group.aig,1,1,1,25659,24,615816,19.276,"pairs=4:5,6:7,8:9; order=bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14; policy=f00; mux_style=case; bdd_share=group; outer_bits=7:6:8:5; inner_bits=0:1:2:3:4:9:10:11:12:13:14; classes=12; group_nodes=1488:1428:1506:2784:2659:2817:1497:1491:1496:2790:2782:2779; total_group_nodes=25517; anf_bits=; popcount_repair_bits=; hash=1e6188a5b65f",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k5_onehot_group,unknown_symmetry_cofactor_classonehot,bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k5_onehot_group,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/verilog/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k5_onehot_group.v,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/aigs/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k5_onehot_group.aig,1,1,1,25418,23,584614,19.571,"pairs=4:5,6:7,8:9; order=bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=7:6:8:5:9; inner_bits=0:1:2:3:4:10:11:12:13:14; classes=18; group_nodes=1488:1428:1506:1476:1403:1510:1497:1491:1496:1487:1479:1488:1491:1445:1503:1496:1485:1481; total_group_nodes=26650; anf_bits=; popcount_repair_bits=; hash=4c0bc069b365",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k5_case_group,unknown_symmetry_cofactor_classonehot,bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k5_case_group,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/verilog/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k5_case_group.v,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/aigs/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k5_case_group.aig,1,1,1,25709,24,617016,18.429,"pairs=4:5,6:7,8:9; order=bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14; policy=f00; mux_style=case; bdd_share=group; outer_bits=7:6:8:5:9; inner_bits=0:1:2:3:4:10:11:12:13:14; classes=18; group_nodes=1488:1428:1506:1476:1403:1510:1497:1491:1496:1487:1479:1488:1491:1445:1503:1496:1485:1481; total_group_nodes=26650; anf_bits=; popcount_repair_bits=; hash=72e892fdd86e",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k6_onehot_group,unknown_symmetry_cofactor_classonehot,bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k6_onehot_group,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/verilog/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k6_onehot_group.v,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/aigs/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k6_onehot_group.aig,1,1,1,25179,21,528759,15.641,"pairs=4:5,6:7,8:9; order=bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=7:6:8:5:9:4; inner_bits=0:1:2:3:10:11:12:13:14; classes=24; group_nodes=783:776:784:782:792:789:790:788:779:801:730:789:792:701:798:784:789:795:791:787:723:789:766:769; total_group_nodes=18667; anf_bits=; popcount_repair_bits=; hash=2119b11049a3",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k6_case_group,unknown_symmetry_cofactor_classonehot,bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k6_case_group,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/verilog/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k6_case_group.v,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/aigs/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k6_case_group.aig,1,1,1,25254,22,555588,16.864,"pairs=4:5,6:7,8:9; order=bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14; policy=f00; mux_style=case; bdd_share=group; outer_bits=7:6:8:5:9:4; inner_bits=0:1:2:3:10:11:12:13:14; classes=24; group_nodes=783:776:784:782:792:789:790:788:779:801:730:789:792:701:798:784:789:795:791:787:723:789:766:769; total_group_nodes=18667; anf_bits=; popcount_repair_bits=; hash=0a7c6e8a1ae2",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k4_onehot_group,unknown_symmetry_cofactor_classonehot,bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k4_onehot_group,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/verilog/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k4_onehot_group.v,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/aigs/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k4_onehot_group.aig,1,1,1,25986,25,649650,20.289,"pairs=4:5,6:7,8:9; order=bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14; policy=f10; mux_style=onehot; bdd_share=group; outer_bits=7:6:8:5; inner_bits=0:1:2:3:4:9:10:11:12:13:14; classes=12; group_nodes=2782:2646:2826:2784:2659:2817:2835:2650:2801:2827:2615:2774; total_group_nodes=33016; anf_bits=; popcount_repair_bits=; hash=dffa71572071",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k4_case_group,unknown_symmetry_cofactor_classonehot,bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k4_case_group,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/verilog/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k4_case_group.v,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/aigs/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k4_case_group.aig,1,1,1,25822,25,645550,19.744,"pairs=4:5,6:7,8:9; order=bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14; policy=f10; mux_style=case; bdd_share=group; outer_bits=7:6:8:5; inner_bits=0:1:2:3:4:9:10:11:12:13:14; classes=12; group_nodes=2782:2646:2826:2784:2659:2817:2835:2650:2801:2827:2615:2774; total_group_nodes=33016; anf_bits=; popcount_repair_bits=; hash=25fa5082b558",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k5_onehot_group,unknown_symmetry_cofactor_classonehot,bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k5_onehot_group,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/verilog/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k5_onehot_group.v,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/aigs/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k5_onehot_group.aig,1,1,1,25519,22,561418,18.970,"pairs=4:5,6:7,8:9; order=bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14; policy=f10; mux_style=onehot; bdd_share=group; outer_bits=7:6:8:5:9; inner_bits=0:1:2:3:4:10:11:12:13:14; classes=18; group_nodes=1488:1428:1506:1476:1403:1510:1516:1446:1495:1513:1394:1498:1491:1445:1503:1500:1410:1463; total_group_nodes=26485; anf_bits=; popcount_repair_bits=; hash=0d6bbc358637",unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k5_case_group,unknown_symmetry_cofactor_classonehot,bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k5_case_group,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/verilog/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k5_case_group.v,student/work/ex288_frontend_symcof_center_order_20260609_1156/ex288/aigs/ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k5_case_group.aig,1,1,1,25580,23,588340,21.033,"pairs=4:5,6:7,8:9; order=bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14; policy=f10; mux_style=case; bdd_share=group; outer_bits=7:6:8:5:9; inner_bits=0:1:2:3:4:10:11:12:13:14; classes=18; group_nodes=1488:1428:1506:1476:1403:1510:1516:1446:1495:1513:1394:1498:1491:1445:1503:1500:1410:1463; total_group_nodes=26485; anf_bits=; popcount_repair_bits=; hash=ad8d94f3dd92",unknown symmetry cofactor class-onehot Verilog seed
