case,metric,key,value,detail
ex288,topk_score_family,singleton_vote:identity:bias=center,169/32768,bit_matches=265998/491520;first=x=0x3;expected=0xc;got=0x6000
ex288,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=asc",138/32768,bit_matches=264422/491520;first=x=0x1;expected=0x4000;got=0x1
ex288,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=desc",138/32768,bit_matches=264422/491520;first=x=0x1;expected=0x4000;got=0x1
ex288,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=none",138/32768,bit_matches=264422/491520;first=x=0x1;expected=0x4000;got=0x1
ex288,topk_score_family,singleton_vote:identity:bias=desc,130/32768,bit_matches=264070/491520;first=x=0x3;expected=0xc;got=0x6000
ex288,topk_score_family,singleton_vote:identity:bias=none,130/32768,bit_matches=264070/491520;first=x=0x3;expected=0xc;got=0x6000
ex288,topk_score_family,singleton_vote:identity:bias=asc,125/32768,bit_matches=265962/491520;first=x=0x3;expected=0xc;got=0x6000
ex288,topk_score_family,singleton_vote:identity:bias=edge,119/32768,bit_matches=263770/491520;first=x=0x3;expected=0xc;got=0x6000
ex288,topk_score_family,"prefix_suffix:reverse:a=1,b=1,bias=asc",95/32768,bit_matches=264456/491520;first=x=0x3;expected=0xc;got=0x6000
ex288,topk_score_family,"prefix_suffix:reverse:a=1,b=1,bias=desc",95/32768,bit_matches=264456/491520;first=x=0x3;expected=0xc;got=0x6000
ex288,topk_score_family,"prefix_suffix:reverse:a=1,b=1,bias=none",95/32768,bit_matches=264456/491520;first=x=0x3;expected=0xc;got=0x6000
ex288,topk_score_family,"prefix_suffix:reverse:a=3,b=2,bias=desc",48/32768,bit_matches=265070/491520;first=x=0x3;expected=0xc;got=0x6000
ex288,topk_score_family,"prefix_suffix:reverse:a=3,b=2,bias=none",48/32768,bit_matches=265070/491520;first=x=0x3;expected=0xc;got=0x6000
ex288,topk_score_family,"local_window:identity:bias=desc,radius=1",47/32768,bit_matches=261638/491520;first=x=0x1;expected=0x4000;got=0x1
ex288,topk_score_family,"local_window:identity:bias=none,radius=1",47/32768,bit_matches=261638/491520;first=x=0x1;expected=0x4000;got=0x1
ex288,topk_score_family,"cyclic_window:identity:bias=desc,radius=1",40/32768,bit_matches=263246/491520;first=x=0x1;expected=0x4000;got=0x1
ex288,topk_score_family,"cyclic_window:identity:bias=none,radius=1",40/32768,bit_matches=263246/491520;first=x=0x1;expected=0x4000;got=0x1
ex288,topk_score_family,"local_window:reverse:bias=desc,radius=1",37/32768,bit_matches=262572/491520;first=x=0x1;expected=0x4000;got=0x2000
ex288,topk_score_family,"local_window:reverse:bias=none,radius=1",37/32768,bit_matches=262572/491520;first=x=0x1;expected=0x4000;got=0x2000
ex288,topk_score_family,"prefix_suffix:identity:a=3,b=2,bias=desc",36/32768,bit_matches=265186/491520;first=x=0x1;expected=0x4000;got=0x1
ex288,topk_score_family,"prefix_suffix:identity:a=3,b=2,bias=none",36/32768,bit_matches=265186/491520;first=x=0x1;expected=0x4000;got=0x1
ex288,topk_score_family,"prefix_suffix:reverse:a=2,b=1,bias=desc",36/32768,bit_matches=264952/491520;first=x=0x3;expected=0xc;got=0x6000
ex288,topk_score_family,"prefix_suffix:reverse:a=2,b=1,bias=none",36/32768,bit_matches=264952/491520;first=x=0x3;expected=0xc;got=0x6000
ex288,topk_score_family,singleton_distance:identity:bias=center,36/32768,bit_matches=264536/491520;first=x=0x3;expected=0xc;got=0x6000
ex288,topk_score_family,"cyclic_window:identity:bias=asc,radius=3",36/32768,bit_matches=262360/491520;first=x=0x2;expected=0x2000;got=0x4000
ex288,layer_image,w0,1,"rows=1;fixed=0=0,1=0,2=0,3=0,4=0,5=0,6=0,7=0,8=0,9=0,10=0,11=0,12=0,13=0,14=0"
ex288,layer_image,w1,9,"rows=15;fixed=0=0,2=0,6=0,7=0,10=0,12=0"
ex288,layer_image,w2,45,rows=105;fixed=
ex288,layer_image,w3,147,rows=455;fixed=
ex288,layer_image,w4,364,rows=1365;fixed=
ex288,layer_image,w5,669,rows=3003;fixed=
ex288,layer_image,w6,989,rows=5005;fixed=
ex288,layer_image,w7,1173,rows=6435;fixed=
ex288,layer_image,w8,1170,rows=6435;fixed=
ex288,layer_image,w9,960,rows=5005;fixed=
ex288,layer_image,w10,660,rows=3003;fixed=
ex288,layer_image,w11,347,rows=1365;fixed=
ex288,layer_image,w12,147,rows=455;fixed=
ex288,layer_image,w13,44,rows=105;fixed=
ex288,layer_image,w14,8,"rows=15;fixed=0=1,3=1,5=1,7=1,9=1,12=1,13=1"
ex288,layer_image,w15,1,"rows=1;fixed=0=1,1=1,2=1,3=1,4=1,5=1,6=1,7=1,8=1,9=1,10=1,11=1,12=1,13=1,14=1"
