case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids
ex200,1,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,3717,17,63189,40052,1.577674,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation
ex201,1,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1,1647,14,23058,16300,1.414601,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1
ex202,1,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4,3478,16,55648,43344,1.283869,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4
ex203,1,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2,4544,17,77248,56948,1.356466,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2
ex204,1,ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14,1545,17,26265,15180,1.730237,ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14
ex205,1,ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1,4463,17,75871,47128,1.609892,ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1
ex206,1,ex206_bf16_sin_odd_pos_fullword_h4,26872,21,564312,539049,1.046866,ex206_bf16_sin_odd_pos_fullword_h4
ex207,1,ex207_bf16_tan_odd_pos_fullword_expflip_h4,29873,21,627333,627817,0.999229,ex207_bf16_tan_odd_pos_fullword_expflip_h4
ex208,1,ex208_bf16_sinh_default_in_const_excepts_h4,2167,15,32505,24505,1.326464,ex208_bf16_sinh_default_in_const_excepts_h4
ex209,1,ex209_bf16_tanh_sign_exp_default_expr_casez,756,13,9828,7320,1.342623,ex209_bf16_tanh_sign_exp_default_expr_casez
ex210,1,ex210_bf16_sigmoid_const_default_3f80_h3,2232,15,33480,27053,1.237571,ex210_bf16_sigmoid_const_default_3f80_h3
ex211,1,ex211_bf16_reciprocal_hand_recip_formula_signmag_lut,273,11,3003,2136,1.405899,ex211_bf16_reciprocal_hand_recip_formula_signmag_lut
ex212,1,ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1,281,11,3091,2304,1.341580,ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1
ex213,1,ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1,346,11,3806,2900,1.312414,ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1
ex214,1,ex214_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_fix,337,11,3707,2424,1.529290,ex214_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_fix
ex215,1,ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12,390,12,4680,3150,1.485714,ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12
ex216,1,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13,444,13,5772,3357,1.719392,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13
ex217,1,ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15,623,13,8099,5785,1.400000,ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15
ex218,1,ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9,467,13,6071,3222,1.884233,ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9
ex219,1,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9,623,15,9345,5640,1.656915,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9
