case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids
ex220,1,ex220_fp16_exp_exp_mant_pair_case,10754,22,236588,180404,1.311434,ex220_fp16_exp_exp_mant_pair_case
ex221,1,ex221_fp16_exp2_semantic_positive_field_defaults,6968,21,146328,105655,1.384960,ex221_fp16_exp2_semantic_positive_field_defaults
ex222,1,ex222_fp16_exp10_positive_default_exp_mant_case,10615,22,233530,173621,1.345056,ex222_fp16_exp10_positive_default_exp_mant_case
ex223,1,ex223_log_nested_low11_hi5_abc_g_aig,10753,19,204307,120549,1.694805,ex223_log_nested_low11_hi5_abc_g_aig
ex224,1,ex224_log_nested_low12_hi6_abc_g_aig,6014,16,96224,64708,1.487050,ex224_log_nested_low12_hi6_abc_g_aig
ex225,1,ex225_log_nested_low12_hi5_abc_g_aig,11533,19,219127,116676,1.878081,ex225_log_nested_low12_hi5_abc_g_aig
ex226,1,ex226_positive_default_exp_mant_case_abc_g_aig,33356,22,733832,587790,1.248459,ex226_positive_default_exp_mant_case_abc_g_aig
ex227,1,ex227_positive_default_exp_mant_case_abc_g_aig,40629,22,893838,721639,1.238622,ex227_positive_default_exp_mant_case_abc_g_aig
ex228,1,ex228_semantic_sign_exp_field_defaults_abc_g_aig,6627,20,132540,101205,1.309619,ex228_semantic_sign_exp_field_defaults_abc_g_aig
ex229,1,ex229_semantic_positive_field_defaults_abc_g_aig,3971,19,75449,57968,1.301563,ex229_semantic_positive_field_defaults_abc_g_aig
ex230,1,ex230_exp_mant_pair_case_abc_g_aig,6969,20,139380,108320,1.286743,ex230_exp_mant_pair_case_abc_g_aig
ex231,1,ex231_nested_bits9_hi6_abc_g_aig,1163,14,16282,14066,1.157543,ex231_nested_bits9_hi6_abc_g_aig
ex232,1,ex232_exp_formula_hi9_8_low8_nested_hi6_abc_g_aig,1240,13,16120,13392,1.203704,ex232_exp_formula_hi9_8_low8_nested_hi6_abc_g_aig
ex233,1,ex233_nested_bits9_8_hi6_abc_g_aig,1530,15,22950,20174,1.137603,ex233_nested_bits9_8_hi6_abc_g_aig
ex234,1,ex234_nested_bits9_8_hi5_abc_g_aig,1351,17,22967,15561,1.475933,ex234_nested_bits9_8_hi5_abc_g_aig
ex235,1,ex235_direct_special_low8_hi6_synth_preset,1628,14,22792,20800,1.095769,ex235_direct_special_low8_hi6_synth_preset
ex236,1,ex236_core_clamp_hi6_abc_g_aig,1432,15,21480,17290,1.242337,ex236_core_clamp_hi6_abc_g_aig
ex237,1,ex237_direct_special_low10_hi6_synth_preset,1889,16,30224,25440,1.188050,ex237_direct_special_low10_hi6_synth_preset
ex238,1,ex238_core_boundary_low12_hi6_synth_preset,1502,15,22530,16549,1.361412,ex238_core_boundary_low12_hi6_synth_preset
ex239,1,ex239_direct_special_low7_hi6_abc_g_aig,2026,16,32416,25965,1.248450,ex239_direct_special_low7_hi6_abc_g_aig
