case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,tool_chain,selection_reason,source_kind,source_csv,source_verilog_path,source_aig_path,notes
ex255,ex255_umul_wallace_bits_abc_g_aig_d20,unsigned low4_high4:a*b,wallace_bits+abc_g_aig_d20,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/verilog/ex255_umul_wallace_bits_abc_g_aig_d20.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig_d20.aig,1,1,87,13,1131,836,1.352871,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/results/candidates.csv,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits; flow=abc_g_aig_d20
ex256,ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave4_cla+abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/verilog/ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex256/aigs/ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig.aig,1,1,159,18,2862,1911,1.497645,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex256_frontend_umul_4to2_compressor_20260609_0153/results/candidates.csv,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave4_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave4_cla; flow=abc_g_aig
ex257,ex257_umul_csa_androws_cla_from3_synth_preset_d18,unsigned low6_high6:a*b,csa_androws_cla_from3+synth_preset_d18,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex257/verilog/ex257_umul_csa_androws_cla_from3_synth_preset_d18.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex257/aigs/ex257_umul_csa_androws_cla_from3_synth_preset_d18.aig,1,1,263,20,5260,3952,1.330972,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_cla_spread_20260609_0133/results/candidates.csv,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex257/verilog/ex257_umul_csa_androws_cla_from3.v,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex257/aigs/ex257_umul_csa_androws_cla_from3_synth_preset_d18.aig,exact unsigned low6 * high6 over 4096 inputs; focused source=csa_androws_cla_from3; flow=synth_preset_d18
ex258,ex258_umul_wallace_bits_abc_g_aig_d20,unsigned low7_high7:a*b,wallace_bits+abc_g_aig_d20,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex258/verilog/ex258_umul_wallace_bits_abc_g_aig_d20.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex258/aigs/ex258_umul_wallace_bits_abc_g_aig_d20.aig,1,1,351,25,8775,6289,1.395293,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/results/candidates.csv,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex258/verilog/ex258_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex258/aigs/ex258_umul_wallace_bits_abc_g_aig_d20.aig,exact unsigned low7 * high7 over 16384 inputs; source=wallace_bits; flow=abc_g_aig_d20
ex259,ex259_umul_wallace_bits_outside_cla_abc_g_aig,unsigned low8_high8:a*b,wallace_bits_outside_cla+abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex259/verilog/ex259_umul_wallace_bits_outside_cla_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex259/aigs/ex259_umul_wallace_bits_outside_cla_abc_g_aig.aig,1,1,480,28,13440,10000,1.344000,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/results/candidates.csv,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_outside_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_outside_cla_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_outside_cla; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_corrfirst_hcla4+abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig.aig,1,1,88,13,1144,657,1.741248,0,0,semantic_signed_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex260_ex263_frontend_smul_corr_order_20260609_0649/results/candidates.csv,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4.v,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_evenodd_hcla4+abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex261/verilog/ex261_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex261/aigs/ex261_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig.aig,1,1,164,18,2952,2041,1.446350,1,0,semantic_signed_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/results/candidates.csv,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_evenodd_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_evenodd_hcla4; flow=abc_g_aig
ex262,ex262_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low6_high6:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex262/verilog/ex262_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex262/aigs/ex262_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,252,22,5544,4900,1.131429,1,0,semantic_signed_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/results/candidates.csv,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex262/verilog/ex262_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex262/aigs/ex262_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low6 * signed high6 over 4096 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1_mod+synth_preset_d11,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11.aig,1,1,362,24,8688,6840,1.270175,1,0,semantic_signed_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex260_ex263_frontend_smul_modcarry_20260609_0703/results/candidates.csv,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1_mod; flow=synth_preset_d11
ex264,ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d11,signed low8_high8:a*b,baugh_wooley_wallace_rev_hcla6+abc_g_aig_d11,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex264/verilog/ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d11.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d11.aig,1,1,486,27,13122,9724,1.349445,1,0,semantic_signed_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/results/candidates.csv,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex264/verilog/ex264_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d11.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig_d11
ex265,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d10,unsigned low4_high4:a/b dbz=max,cof_bhi3_ahi1_bitbdd_wordmux+synth_preset_d10,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex265/verilog/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d10.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex265/aigs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d10.aig,1,1,63,8,504,322,1.565217,0,0,semantic_udiv_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/results/candidates.csv,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d10.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset_d10
