case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids
ex280,4,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary,162,31,5022,2415,2.079503,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary; ex280_prefix_parity_full_clamp_simplified_grouped_deg2_abc_g_aig; ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2; ex280_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_endpoint_rev_abc_g_aig
ex281,4,ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,182,33,6006,2336,2.571062,ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_basic; ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig; ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2; ex281_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_depth_abc_g_aig
ex282,4,ex282_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig,215,31,6665,2704,2.464867,ex282_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig; ex282_unknown_quadratic_compressor_prefix_parity_full_clamp_basic; ex282_unknown_muxcoord_anf_prefix_parity_full_clamp_simplified_grouped_deg2; ex282_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_endpoint_rev_abc_g_aig
ex283,4,ex283_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,201,38,7638,3168,2.410985,ex283_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic; ex283_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig; ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2; ex283_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_node_abc_g_aig
ex284,4,ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_boundary,215,39,8385,4240,1.977594,ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_boundary; ex284_prefix_parity_full_clamp_simplified_grouped_deg2_abc_g_aig; ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2; ex284_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_node_abc_g_aig
ex285,4,ex285_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7,794,18,14292,5499,2.599018,ex285_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7; ex285_unknown_symcof_interleave_f10_k4; ex285_unknown_12x12_rotate_high_split_default; ex285_interleave_f10_synth_preset
ex286,4,ex286_unknown_symcof_keybdd_selected_interleave_f00_k4_keybdd_5_6_7_abc_g_aig,1453,15,21795,2376,9.172980,ex286_unknown_symcof_keybdd_selected_interleave_f00_k4_keybdd_5_6_7_abc_g_aig; ex286_unknown_symcof_interleave_f00_k4_onehot_group; ex286_rotate_low_split_default_abc_g_aig; ex286_primary_7_abc_g_aig
ex287,4,ex287_unknown_symcof_keybdd_selected_interleave_f00_k5_keybdd_6_7_abc_g_aig,1856,15,27840,5782,4.814943,ex287_unknown_symcof_keybdd_selected_interleave_f00_k5_keybdd_6_7_abc_g_aig; ex287_unknown_symcof_interleave_f00_k6_case; ex287_interleave_f10_synth_preset; ex287_decision_tree_greedy_synth_preset
ex288,4,ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig,2281,14,31934,16394,1.947908,ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig; ex288_unknown_symcof_interleave_f10_k4_case; ex288_unknown_bit_hybrid_primary_7; ex288_unknown_symcof_interleave_f10_k4_onehot_group
ex289,4,ex289_split2_f00_bits_0_1_12_13_onehot_group_abc_g_aig,1046,20,20920,13620,1.535977,ex289_split2_f00_bits_0_1_12_13_onehot_group_abc_g_aig; ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_case_group_xor; ex289_interleave_f00_bits_0_1_12_13_case_group_synth_preset; ex289_order_0_1_12_13_2_14_3_11_4_5_6_7_8_9_10_synth_preset
ex290,4,ex290_unknown_12x12_rotate_low_split_default,4484,16,71744,42328,1.694954,ex290_unknown_12x12_rotate_low_split_default; ex290_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7; ex290_unknown_shared_bdd_12x12_order_0_11_1_10_2_9_3_8_4_7_5_6; ex290_unknown_12x12_low_split_default
ex291,4,ex291_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6,5369,21,112749,66850,1.686597,ex291_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6; ex291_unknown_13x13_low_split_default; ex291_unknown_13x13_rotate_low_split_default; ex291_unknown_13x13_decision_tree_greedy
ex292,4,ex292_unknown_cofactor_bdd_low1,6826,23,156998,84854,1.850213,ex292_unknown_cofactor_bdd_low1; ex292_unknown_14x14_rotate_high_split_default; ex292_primary_0_1_2_3_4_5_6_synth_preset; ex292_unknown_bit_hybrid_primary_5_6_7_8
ex293,4,ex293_unknown_15x15_rotate_high_split_default,8395,18,151110,112966,1.337659,ex293_unknown_15x15_rotate_high_split_default; ex293_unknown_shared_bdd_15x15_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7; ex293_unknown_15x15_decision_tree_greedy; ex293_unknown_15x15_low_split_default
ex294,4,ex294_unknown_cofactor_bdd_low1,10898,23,250654,133365,1.879459,ex294_unknown_cofactor_bdd_low1; ex294_primary_6_7_12_13_abc_g_aig; ex294_unknown_bit_hybrid_primary_1_2_6_7_12_13; ex294_unknown_16x16_rotate_high_split_default
ex295,4,ex295_unknown_12x12_high_split_default,8693,18,156474,68064,2.298925,ex295_unknown_12x12_high_split_default; ex295_unknown_shared_bdd_12x12_order_5_6_4_7_3_8_2_9_1_10_0_11; ex295_unknown_rot_rep_bdd_natural; ex295_unknown_rot_rep_bdd_interleave
ex296,4,ex296_unknown_13x13_rotate_high_split_default,9986,17,169762,104025,1.631935,ex296_unknown_13x13_rotate_high_split_default; ex296_unknown_13x13_rotate_low_split_default; ex296_unknown_13x13_value_case; ex296_unknown_split_refine_rotate11_low12
ex297,4,ex297_unknown_14x14_rotate_high_split_default,32609,21,684789,225900,3.031381,ex297_unknown_14x14_rotate_high_split_default; ex297_unknown_shared_bdd_14x14_order_0_1_2_3_4_5_6_7_8_9_10_11_12_13; ex297_unknown_rot_rep_bdd_natural; ex297_unknown_rot_rep_bdd_center
ex298,4,ex298_unknown_15x15_high_split_default,31910,22,702020,442296,1.587218,ex298_unknown_15x15_high_split_default; ex298_unknown_15x15_rotate_low_split_default; ex298_unknown_15x15_value_case; ex298_unknown_split_refine_rotate13_low14
ex299,4,ex299_unknown_16x16_low_split_default,119023,25,2975575,1013807,2.935051,ex299_unknown_16x16_low_split_default; ex299_unknown_shared_bdd_16x16_order_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15; ex299_unknown_rot_rep_bdd_natural; ex299_unknown_rot_rep_bdd_center
